Index,molecule_chembl_id,IC50,units,smiles,pIC50
40,CHEMBL1000,108000,uM,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,3.96657624451305
41,CHEMBL16,240000,uM,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,3.61978875828839
42,CHEMBL40,3000000,uM,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,2.52287874528034
43,CHEMBL284348,4400000,uM,Nc1ccncc1,2.35654732351381
44,CHEMBL129583,8,uM,CS(=O)(=O)Nc1ccc2c(c1)C(=O)CC1(CCN(CCc3ccc4nonc4c3)CC1)O2,8.09691001300806
45,CHEMBL182977,10,uM,CCCCCCCN(CC)CCCCc1ccc([N+](=O)[O-])cc1,8
46,CHEMBL533,20,uM,CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,7.69897000433602
47,CHEMBL182646,20,uM,COc1ccc(CCN(C)CCCN(C(=O)c2ccc([N+](=O)[O-])cc2)c2ccc(OC)c(OC)c2)cc1OC,7.69897000433602
48,CHEMBL327980,20,uM,Cc1cccc(CCN2CCC(C(=O)c3ccc(NS(C)(=O)=O)cc3)CC2)n1,7.69897000433602
49,CHEMBL96153,30,uM,COc1ccc(C2CCN(CC[C@H]3CCOc4ccccc43)CC2)cc1OC,7.52287874528034
50,CHEMBL9484,150,uM,CCCCCCC[N+](CC)(CC)CCCCc1ccc(Cl)cc1,6.82390874094432
51,CHEMBL362103,250,uM,CCC[S+]([O-])CCCN(CC)CC(O)COc1ccc(C#N)cc1,6.60205999132796
52,CHEMBL85,260,uM,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,6.58502665202918
53,CHEMBL723,350,uM,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,6.45593195564972
54,CHEMBL123558,400,uM,CN1CCN(CCCCN2C(=O)CN(/N=C/c3ccc(-c4ccc(Cl)cc4)o3)C2=O)CC1,6.39794000867204
