,activity_id,assay_chembl_id,assay_description,assay_type,molecule_chembl_id,smiles,target_chembl_id,target_organism,standard_type,standard_units,relation,standard_value,error
0,109043,CHEMBL701453,Percent unbound determined for whole normal human plasma,F,CHEMBL268871,CCc1cc(NCc2nc3c(Cl)ccc(Cl)c3o2)c(O)nc1C,CHEMBL612558,Homo sapiens,Unbound,%,=,0.4,
1,115633,CHEMBL701453,Percent unbound determined for whole normal human plasma,F,CHEMBL177271,CCc1cc(CCc2nc3c(F)ccc(F)c3o2)c(O)nc1C,CHEMBL612558,Homo sapiens,Unbound,%,=,3.0,
2,119428,CHEMBL701453,Percent unbound determined for whole normal human plasma,F,CHEMBL176972,CCc1cc(CCc2nc3c(Cl)cccc3o2)c(O)nc1C,CHEMBL612558,Homo sapiens,Unbound,%,=,3.0,
3,119431,CHEMBL701453,Percent unbound determined for whole normal human plasma,F,CHEMBL367052,CCc1cc(CCc2nc3cccc(F)c3o2)c(O)nc1C,CHEMBL612558,Homo sapiens,Unbound,%,=,1.4,
4,121881,CHEMBL701453,Percent unbound determined for whole normal human plasma,F,CHEMBL171920,CCc1cc(CCc2nc3cccc(Cl)c3o2)c(O)nc1C,CHEMBL612558,Homo sapiens,Unbound,%,=,0.7,
5,127226,CHEMBL701453,Percent unbound determined for whole normal human plasma,F,CHEMBL99235,CCc1cc(CCc2nc3c(Cl)ccc(Cl)c3o2)c(O)nc1C,CHEMBL612558,Homo sapiens,Unbound,%,=,0.1,
6,128273,CHEMBL701453,Percent unbound determined for whole normal human plasma,F,CHEMBL83622,CCc1cc(CCc2nc3ccccc3o2)c(O)nc1C,CHEMBL612558,Homo sapiens,Unbound,%,=,4.0,
7,129537,CHEMBL701453,Percent unbound determined for whole normal human plasma,F,CHEMBL329720,CCc1cc(CCc2nc3c(C)ccc(C)c3o2)c(O)nc1C,CHEMBL612558,Homo sapiens,Unbound,%,=,0.2,
8,139468,CHEMBL701453,Percent unbound determined for whole normal human plasma,F,CHEMBL177016,CCc1cc(CCc2nc3c(C)cccc3o2)c(O)nc1C,CHEMBL612558,Homo sapiens,Unbound,%,=,0.4,
9,140646,CHEMBL701453,Percent unbound determined for whole normal human plasma,F,CHEMBL176362,CCc1cc(CCc2nc3c(F)cccc3o2)c(O)nc1C,CHEMBL612558,Homo sapiens,Unbound,%,=,4.0,
15,3368270,CHEMBL1176595,Fraction unbound in human liver microsomes at 1 uM,A,CHEMBL1171647,CCc1c[nH]c2ncnc(N3CC[C@](N)(CNC(=O)c4ccc(F)cc4F)C3)c12,CHEMBL612558,Homo sapiens,Fu,%,=,80.5,
17,5109126,CHEMBL1641295,Fraction unbound in human plasma by equilibrium dialysis method,A,CHEMBL221959,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,CHEMBL613424,Homo sapiens,Fu,%,=,24.0,
18,5240879,CHEMBL1685348,Fraction unbound in human plasma,A,CHEMBL1683571,N[C@H]1CN(c2ncnc(N3CCC(F)(F)C3)n2)C[C@@H]1N1CC(F)(F)CCC1=O,CHEMBL613424,Homo sapiens,Fu,%,=,83.0,
19,6286116,CHEMBL1803802,Fraction unbound in human plasma,A,CHEMBL1800879,N#CC1(c2ccccc2)CCN(Cc2cc(C(=O)O)c(=O)n3ccccc23)CC1,CHEMBL613424,Homo sapiens,Fu,%,=,10.0,
35,14725649,CHEMBL3296726,Fraction unbound in human plasma,A,CHEMBL3289803,Nc1nc2ccc(C(F)(F)F)cc2n1CC(O)c1ccc(C(F)(F)F)cc1Cl,CHEMBL613424,Homo sapiens,Fu,%,<,1.0,
36,14725650,CHEMBL3296726,Fraction unbound in human plasma,A,CHEMBL3289813,CC(Oc1ccc2nc(N)n(CC(O)c3ccc(C(F)(F)F)cc3Cl)c2n1)C(F)(F)F,CHEMBL613424,Homo sapiens,Fu,%,<,1.0,
37,14725775,CHEMBL3296726,Fraction unbound in human plasma,A,CHEMBL3289811,Nc1nc2ccc(OC3CCOC3)nc2n1CC(O)c1ccc(C(F)(F)F)cc1Cl,CHEMBL613424,Homo sapiens,Fu,%,=,2.6,
38,14725813,CHEMBL3296726,Fraction unbound in human plasma,A,CHEMBL3289805,Nc1nc2cccnc2n1CC(O)c1cccc(Cl)c1Cl,CHEMBL613424,Homo sapiens,Fu,%,=,11.799999999999999,
39,14725838,CHEMBL3296726,Fraction unbound in human plasma,A,CHEMBL3289806,CN1CCN(c2ccc3nc(N)n(CC(O)c4ccc(C(F)(F)F)cc4Cl)c3n2)CC1,CHEMBL613424,Homo sapiens,Fu,%,=,23.400000000000002,
88,16533063,CHEMBL3790413,Plasma protein binding in human assessed as fraction unbound,A,CHEMBL3787587,O=C(NCc1cc(Cl)ccc1-n1cnnn1)[C@@H]1CC=NN1C(=O)[C@H](O)c1ccc(F)cc1,CHEMBL612546,Homo sapiens,Fu,%,=,34.0,
125,18357471,CHEMBL4140831,Fraction unbound in human plasma at 5 uM after 4 hrs by equilibrium dialysis based LC-MS/MS analysis,A,CHEMBL2361777,COc1ccc(-c2c(C)nn3c(C(F)(F)F)cc(C)nc23)cc1,CHEMBL612558,Homo sapiens,Fu,%,=,0.6,
126,18357472,CHEMBL4140831,Fraction unbound in human plasma at 5 uM after 4 hrs by equilibrium dialysis based LC-MS/MS analysis,A,CHEMBL4165248,COc1ccc(-c2c(C)nn3c(C(F)(F)F)cc(C)nc23)cc1F,CHEMBL612558,Homo sapiens,Fu,%,=,1.3,
127,18357473,CHEMBL4140831,Fraction unbound in human plasma at 5 uM after 4 hrs by equilibrium dialysis based LC-MS/MS analysis,A,CHEMBL4168668,COc1cc(F)c(-c2c(C)nn3c(C(F)(F)F)cc(C)nc23)c(F)c1,CHEMBL612558,Homo sapiens,Fu,%,=,1.6,
128,18357474,CHEMBL4140831,Fraction unbound in human plasma at 5 uM after 4 hrs by equilibrium dialysis based LC-MS/MS analysis,A,CHEMBL4160748,COc1ccc(-c2c(C)nn3c(C(F)(F)F)cc(C)nc23)c(F)c1F,CHEMBL612558,Homo sapiens,Fu,%,=,0.8,
129,18357475,CHEMBL4140831,Fraction unbound in human plasma at 5 uM after 4 hrs by equilibrium dialysis based LC-MS/MS analysis,A,CHEMBL4172016,COc1cc(F)c(-c2c(C)nn3c(C(F)(F)F)cc(C)nc23)cc1F,CHEMBL612558,Homo sapiens,Fu,%,=,0.2,
139,18924409,CHEMBL4324216,Unbound fraction in human plasma at 1 uM incubated for 4 hrs by rapid equilibrium dialysis method,A,CHEMBL4451125,CC(C)n1cnnc1-c1cccc(NC(=O)c2ccccc2F)n1,CHEMBL612558,Homo sapiens,Fu,%,=,22.3,
140,18924410,CHEMBL4324216,Unbound fraction in human plasma at 1 uM incubated for 4 hrs by rapid equilibrium dialysis method,A,CHEMBL4551282,COc1ccccc1C(=O)Nc1cccc(-c2nncn2C(C)C)n1,CHEMBL612558,Homo sapiens,Fu,%,=,2.7,
141,18924411,CHEMBL4324216,Unbound fraction in human plasma at 1 uM incubated for 4 hrs by rapid equilibrium dialysis method,A,CHEMBL4561768,O=C1Nc2cccc(n2)-c2nncn2CCCCOc2ccccc21,CHEMBL612558,Homo sapiens,Fu,%,=,3.2,
142,18924412,CHEMBL4324216,Unbound fraction in human plasma at 1 uM incubated for 4 hrs by rapid equilibrium dialysis method,A,CHEMBL4447729,O=C1Nc2cccc(n2)-c2nncn2CCCCCOc2ccccc21,CHEMBL612558,Homo sapiens,Fu,%,=,0.13999999999999999,
143,18924413,CHEMBL4324216,Unbound fraction in human plasma at 1 uM incubated for 4 hrs by rapid equilibrium dialysis method,A,CHEMBL4521694,COc1ccccc1C(=O)Nc1cccc(-c2nncn2C)n1,CHEMBL612558,Homo sapiens,Fu,%,=,8.3,
144,18924414,CHEMBL4324216,Unbound fraction in human plasma at 1 uM incubated for 4 hrs by rapid equilibrium dialysis method,A,CHEMBL4514925,C[C@H]1CCCOc2ccccc2C(=O)Nc2cccc(n2)-c2nncn21,CHEMBL612558,Homo sapiens,Fu,%,=,2.4,
145,18924415,CHEMBL4324216,Unbound fraction in human plasma at 1 uM incubated for 4 hrs by rapid equilibrium dialysis method,A,CHEMBL4537756,C[C@@H]1CCCOc2ccccc2C(=O)Nc2cccc(n2)-c2nncn21,CHEMBL612558,Homo sapiens,Fu,%,=,4.1000000000000005,
146,18924416,CHEMBL4324216,Unbound fraction in human plasma at 1 uM incubated for 4 hrs by rapid equilibrium dialysis method,A,CHEMBL4442116,C[C@@H]1CCn2cnnc2-c2cccc(n2)NC(=O)c2ccccc2OC1,CHEMBL612558,Homo sapiens,Fu,%,=,1.2,
147,18924417,CHEMBL4324216,Unbound fraction in human plasma at 1 uM incubated for 4 hrs by rapid equilibrium dialysis method,A,CHEMBL4565615,C[C@H]1CCCn2cnnc2-c2cccc(n2)NC(=O)c2ccccc2O1,CHEMBL612558,Homo sapiens,Fu,%,=,3.1,
148,18924418,CHEMBL4324216,Unbound fraction in human plasma at 1 uM incubated for 4 hrs by rapid equilibrium dialysis method,A,CHEMBL4469413,O=C1Nc2cccc(n2)-c2nncn2CCCCOc2ccc(F)cc21,CHEMBL612558,Homo sapiens,Fu,%,=,2.8000000000000003,
149,18924419,CHEMBL4324216,Unbound fraction in human plasma at 1 uM incubated for 4 hrs by rapid equilibrium dialysis method,A,CHEMBL4590290,O=C1Nc2cccc(n2)-c2nncn2CCCCOc2cc(F)ccc21,CHEMBL612558,Homo sapiens,Fu,%,=,1.0999999999999999,
150,18924420,CHEMBL4324216,Unbound fraction in human plasma at 1 uM incubated for 4 hrs by rapid equilibrium dialysis method,A,CHEMBL4562269,C[C@H]1CCCOc2cc(F)ccc2C(=O)Nc2cccc(n2)-c2nncn21,CHEMBL612558,Homo sapiens,Fu,%,=,3.6999999999999997,
151,18924421,CHEMBL4324216,Unbound fraction in human plasma at 1 uM incubated for 4 hrs by rapid equilibrium dialysis method,A,CHEMBL4542440,C[C@@H]1CCOc2cc(F)ccc2C(=O)Nc2cccc(n2)-c2nncn2C1,CHEMBL612558,Homo sapiens,Fu,%,=,0.3,
152,18924422,CHEMBL4324216,Unbound fraction in human plasma at 1 uM incubated for 4 hrs by rapid equilibrium dialysis method,A,CHEMBL4590759,O=C1Nc2cccc(n2)-c2nncn2CCCCOc2ccc(Br)cc21,CHEMBL612558,Homo sapiens,Fu,%,=,0.6,
153,18924423,CHEMBL4324216,Unbound fraction in human plasma at 1 uM incubated for 4 hrs by rapid equilibrium dialysis method,A,CHEMBL4544934,O=C1Nc2cccc(n2)-c2nncn2CCCCOc2ccc(N3CC4(COC4)C3)cc21,CHEMBL612558,Homo sapiens,Fu,%,=,15.7,
154,18924424,CHEMBL4324216,Unbound fraction in human plasma at 1 uM incubated for 4 hrs by rapid equilibrium dialysis method,A,CHEMBL4473364,CS(=O)(=O)c1ccc2c(c1)C(=O)Nc1cccc(n1)-c1nncn1CCCCO2,CHEMBL612558,Homo sapiens,Fu,%,=,24.0,
155,18924425,CHEMBL4324216,Unbound fraction in human plasma at 1 uM incubated for 4 hrs by rapid equilibrium dialysis method,A,CHEMBL4569388,Cc1cn(-c2ccc3c(c2)C(=O)Nc2cccc(n2)-c2nncn2CCCCO3)cn1,CHEMBL612558,Homo sapiens,Fu,%,=,2.1,
156,18924426,CHEMBL4324216,Unbound fraction in human plasma at 1 uM incubated for 4 hrs by rapid equilibrium dialysis method,A,CHEMBL4475667,Cn1cc(-c2ccc3c(c2)C(=O)Nc2cccc(n2)-c2nncn2CCCCO3)cn1,CHEMBL612558,Homo sapiens,Fu,%,=,0.16999999999999998,
157,18924427,CHEMBL4324216,Unbound fraction in human plasma at 1 uM incubated for 4 hrs by rapid equilibrium dialysis method,A,CHEMBL4456722,CN(C)CCn1cc(-c2ccc3c(c2)C(=O)Nc2cccc(n2)-c2nncn2CCCCO3)cn1,CHEMBL612558,Homo sapiens,Fu,%,=,6.6000000000000005,
158,18924428,CHEMBL4324216,Unbound fraction in human plasma at 1 uM incubated for 4 hrs by rapid equilibrium dialysis method,A,CHEMBL4591648,C[C@@H]1CCOc2cc(F)c(-c3cnn(CCN(C)C)c3)cc2C(=O)Nc2cccc(n2)-c2nncn2C1,CHEMBL612558,Homo sapiens,Fu,%,=,1.5,
159,22432303,CHEMBL4676580,Protein binding human plasma assessed as unbound fraction,A,CHEMBL4746351,O=C(C[C@@H]1Cc2cc(Cl)c3[nH]ncc3c2CN(CC(F)(F)F)C1=O)N1CCC(N2CCc3ccccc3NC2=O)CC1,CHEMBL612558,Homo sapiens,Fu,%,=,2.8000000000000003,
165,24831501,CHEMBL5142869,Plasma protein binding in human assessed as unbound fraction,A,CHEMBL5192430,Cc1cc2ncccc2cc1Nc1ncc2c(n1)n(C1CCNCC1)c(=O)n2C,CHEMBL612558,Homo sapiens,Fu,%,=,68.0,
166,24831502,CHEMBL5142869,Plasma protein binding in human assessed as unbound fraction,A,CHEMBL5182028,Cc1cc2ncccc2cc1Nc1ncc2c(n1)n([C@@H]1CCN(C)C1)c(=O)n2C,CHEMBL612558,Homo sapiens,Fu,%,=,72.0,
167,24831503,CHEMBL5142869,Plasma protein binding in human assessed as unbound fraction,A,CHEMBL5191577,Cc1cc2ncccc2cc1Nc1ncc2c(n1)n([C@H]1CCN(CCO)C1)c(=O)n2C,CHEMBL612558,Homo sapiens,Fu,%,=,86.0,
168,24831504,CHEMBL5142869,Plasma protein binding in human assessed as unbound fraction,A,CHEMBL5204870,COCCN1CC[C@H](n2c(=O)n(C)c3cnc(Nc4cc5cccnc5cc4C)nc32)C1,CHEMBL612558,Homo sapiens,Fu,%,=,71.0,
169,24831505,CHEMBL5142869,Plasma protein binding in human assessed as unbound fraction,A,CHEMBL5197250,Cc1cc2ncccc2cc1Nc1ncc2c(n1)n([C@H]1CCN(C3COC3)C1)c(=O)n2C,CHEMBL612558,Homo sapiens,Fu,%,=,56.00000000000001,
170,24831506,CHEMBL5142869,Plasma protein binding in human assessed as unbound fraction,A,CHEMBL5179972,Cc1cc2ncccc2cc1Nc1ncc2c(n1)n([C@@H]1CN(C)C[C@H]1F)c(=O)n2C,CHEMBL612558,Homo sapiens,Fu,%,=,38.0,
171,24831507,CHEMBL5142869,Plasma protein binding in human assessed as unbound fraction,A,CHEMBL5182752,Cc1cc2ncccc2cc1Nc1ncc2c(n1)n([C@@H]1CN(C)C[C@@H]1F)c(=O)n2C,CHEMBL612558,Homo sapiens,Fu,%,=,16.0,
172,24831508,CHEMBL5142869,Plasma protein binding in human assessed as unbound fraction,A,CHEMBL5170489,Cc1cc2ncccc2cc1Nc1ncc2c(n1)n([C@@H]1CNC[C@H]1F)c(=O)n2C,CHEMBL612558,Homo sapiens,Fu,%,=,41.0,
173,24831509,CHEMBL5142869,Plasma protein binding in human assessed as unbound fraction,A,CHEMBL5178837,Cc1cc2ncccc2cc1Nc1ncc2c(n1)n([C@@H]1CNC[C@@H]1F)c(=O)n2C,CHEMBL612558,Homo sapiens,Fu,%,=,26.0,
174,24831510,CHEMBL5142869,Plasma protein binding in human assessed as unbound fraction,A,CHEMBL5186637,Cc1cc2ncccc2cc1Nc1ncc2c(n1)n(C1CCN(C)CC1)c(=O)n2C,CHEMBL612558,Homo sapiens,Fu,%,=,56.00000000000001,
175,24831511,CHEMBL5142869,Plasma protein binding in human assessed as unbound fraction,A,CHEMBL5198414,Cc1cc2ncccc2cc1Nc1ncc2c(n1)n([C@H]1CCN(C)C1)c(=O)n2C,CHEMBL612558,Homo sapiens,Fu,%,=,67.0,
187,25668977,CHEMBL5375718,Plasma protein binding in human assessed as unbound fraction at 5 uM incubated for 6 hrs by equilibrium dialysis based LC-MS analysis,A,CHEMBL288441,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,CHEMBL612558,Homo sapiens,Fu,%,=,4.5,
188,25668978,CHEMBL5375718,Plasma protein binding in human assessed as unbound fraction at 5 uM incubated for 6 hrs by equilibrium dialysis based LC-MS analysis,A,CHEMBL5435819,COc1cc(Nc2c(C#N)cnc3cc(OCCON4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,CHEMBL612558,Homo sapiens,Fu,%,=,5.0,
195,1143997,CHEMBL618307,Compound was tested for human plasma protein binding,A,CHEMBL141919,C#CC[C@@H](C(=O)N[C@H](/C=C/C(=O)OC1CCCC1)C[C@@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O,CHEMBL612558,Homo sapiens,Free,%,=,7.0,
196,1156798,CHEMBL618307,Compound was tested for human plasma protein binding,A,CHEMBL140521,C#CC[C@@H](C(=O)N[C@H](/C=C/C(=O)OCc1ccccc1)C[C@@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O,CHEMBL612558,Homo sapiens,Free,%,=,13.0,
197,1164925,CHEMBL618307,Compound was tested for human plasma protein binding,A,CHEMBL141157,C#CC[C@@H](C(=O)N[C@H](/C=C/C(=O)OCC)C[C@@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O,CHEMBL612558,Homo sapiens,Free,%,=,34.0,
198,1166262,CHEMBL618307,Compound was tested for human plasma protein binding,A,CHEMBL291276,Cc1cc(C(=O)Nc2cccn([C@@H](Cc3ccc(F)c(F)c3)C(=O)N[C@H](/C=C/C(=O)OC(C)C)C[C@@H]3CCNC3=O)c2=O)no1,CHEMBL612558,Homo sapiens,Free,%,=,9.0,
199,1167606,CHEMBL618307,Compound was tested for human plasma protein binding,A,CHEMBL140398,CC[C@@H](C(=O)N[C@H](/C=C/C(=O)OC1CCC1)C[C@@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O,CHEMBL612558,Homo sapiens,Free,%,=,33.0,
200,1168922,CHEMBL618307,Compound was tested for human plasma protein binding,A,CHEMBL345023,CC[C@@H](C(=O)N[C@H](/C=C/C(=O)OCc1ccccc1)C[C@@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O,CHEMBL612558,Homo sapiens,Free,%,=,8.0,
201,2499413,CHEMBL982426,Fraction unbound in human plasma,A,CHEMBL520448,CN(C)CC(=O)N1CCn2c(c(C3CCCCC3)c3ccc(C(=O)O)cc32)-c2ccc(F)cc2C1,CHEMBL613424,Homo sapiens,Fu,%,=,2.0,
202,2499416,CHEMBL982426,Fraction unbound in human plasma,A,CHEMBL480816,CN(C)CCN1CCn2c(c(C3CCCCC3)c3ccc(C(=O)O)cc32)-c2ccccc2C1,CHEMBL613424,Homo sapiens,Fu,%,=,3.0,
207,12661990,CHEMBL2330876,Fraction unbound in human plasma,A,CHEMBL2325741,NC1(C(=O)N[C@@H](CCO)c2ccc(Cl)cc2)CCN(c2nc[nH]c3nccc2-3)CC1,CHEMBL613424,Homo sapiens,Fu,%,=,22.3,
208,12661991,CHEMBL2330876,Fraction unbound in human plasma,A,CHEMBL598194,NC1(C(=O)NCc2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,CHEMBL613424,Homo sapiens,Fu,%,=,22.0,
214,13902073,CHEMBL3119201,Fraction unbound in human plasma,A,CHEMBL3114791,Cn1cnc(S(=O)(=O)N2C[C@@H]3[C@H](C2)[C@@]3(CNC(=O)c2ccc(Cl)cc2)CC2CC2)c1,CHEMBL613424,Homo sapiens,Fu,%,=,3.0,
215,13902074,CHEMBL3119201,Fraction unbound in human plasma,A,CHEMBL3114790,Cn1cnc(S(=O)(=O)N2C[C@@H]3[C@H](C2)[C@@]3(CNC(=O)c2cc(Cl)cc(Cl)c2)CC2CC2)c1,CHEMBL613424,Homo sapiens,Fu,%,=,2.0,
216,13902075,CHEMBL3119201,Fraction unbound in human plasma,A,CHEMBL3114789,Cn1cnc(S(=O)(=O)N2C[C@@H]3[C@H](C2)[C@@]3(CNC(=O)c2ccc(Cl)c(Cl)c2)CC2CC2)c1,CHEMBL613424,Homo sapiens,Fu,%,=,2.0,
217,13902076,CHEMBL3119201,Fraction unbound in human plasma,A,CHEMBL3114788,Cn1cnc(S(=O)(=O)N2C[C@@H]3[C@H](C2)[C@@]3(CNC(=O)c2ccccc2Cl)CC2CC2)c1,CHEMBL613424,Homo sapiens,Fu,%,=,3.0,
218,13902077,CHEMBL3119201,Fraction unbound in human plasma,A,CHEMBL3114972,Cn1cnc(S(=O)(=O)N2C[C@@H]3[C@H](C2)[C@@]3(CNC(=O)c2cccc(C(F)(F)F)c2)CC2CC2)c1,CHEMBL613424,Homo sapiens,Fu,%,=,4.0,
219,13902078,CHEMBL3119201,Fraction unbound in human plasma,A,CHEMBL3114971,Cn1cnc(S(=O)(=O)N2C[C@@H]3[C@H](C2)[C@@]3(CNC(=O)c2ccccc2C(F)(F)F)CC2CC2)c1,CHEMBL613424,Homo sapiens,Fu,%,=,7.000000000000001,
220,13902079,CHEMBL3119201,Fraction unbound in human plasma,A,CHEMBL3114970,Cn1cnc(S(=O)(=O)N2C[C@@H]3[C@H](C2)[C@@]3(CNC(=O)c2c(Cl)cccc2Cl)CC2CC2)c1,CHEMBL613424,Homo sapiens,Fu,%,=,8.0,
221,13902080,CHEMBL3119201,Fraction unbound in human plasma,A,CHEMBL3114969,Cn1cnc(S(=O)(=O)N2C[C@@H]3[C@H](C2)[C@@]3(CNC(=O)c2ccc(Cl)cc2Cl)CC2CC2)c1,CHEMBL613424,Homo sapiens,Fu,%,=,5.0,
222,13902081,CHEMBL3119201,Fraction unbound in human plasma,A,CHEMBL3114968,Cn1cnc(S(=O)(=O)N2C[C@@H]3[C@H](C2)[C@@]3(CNC(=O)c2ccccc2C(F)(F)F)c2ccccn2)c1,CHEMBL613424,Homo sapiens,Fu,%,=,7.6,
223,13902082,CHEMBL3119201,Fraction unbound in human plasma,A,CHEMBL3114967,Cn1cnc(S(=O)(=O)N2C[C@@H]3[C@H](C2)[C@@]3(CNC(=O)c2ccc(Cl)cc2Cl)c2ccccn2)c1,CHEMBL613424,Homo sapiens,Fu,%,=,14.000000000000002,
227,14985925,CHEMBL3377602,Fraction unbound in human serum,A,CHEMBL3359908,CC1(C)CCC[C@H]1Nc1c(C(N)=O)cnn2cccc12,CHEMBL613426,Homo sapiens,Fu,%,=,1.9,
228,14985926,CHEMBL3377602,Fraction unbound in human serum,A,CHEMBL3359913,CC1(C)[C@H](O)CC[C@H]1Nc1c(C(N)=O)cnn2cccc12,CHEMBL613426,Homo sapiens,Fu,%,=,17.0,
229,14985927,CHEMBL3377602,Fraction unbound in human serum,A,CHEMBL3359915,CC1(C)[C@H](Nc2c(C(N)=O)cnn3cccc23)CC[C@@]1(C)O,CHEMBL613426,Homo sapiens,Fu,%,=,16.0,
230,14985928,CHEMBL3377602,Fraction unbound in human serum,A,CHEMBL3359919,CC1(C)[C@@H](N)CC[C@H]1Nc1c(C(N)=O)cnn2cccc12,CHEMBL613426,Homo sapiens,Fu,%,=,44.0,
231,14985929,CHEMBL3377602,Fraction unbound in human serum,A,CHEMBL3359920,CC1(C)[C@H](Nc2c(C(N)=O)cnn3cccc23)CC[C@@]1(C)N,CHEMBL613426,Homo sapiens,Fu,%,=,52.0,
232,14985930,CHEMBL3377602,Fraction unbound in human serum,A,CHEMBL3359921,CC1(C)[C@H](Nc2c(C(N)=O)cnn3cccc23)CC[C@]1(C)N,CHEMBL613426,Homo sapiens,Fu,%,=,52.0,
233,14985931,CHEMBL3377602,Fraction unbound in human serum,A,CHEMBL3359926,C[C@]1(C#N)CCC[C@H]1Nc1c(C(N)=O)cnn2cccc12,CHEMBL613426,Homo sapiens,Fu,%,=,27.0,
234,14985932,CHEMBL3377602,Fraction unbound in human serum,A,CHEMBL3359927,C[C@]1(F)CCC[C@H]1Nc1c(C(N)=O)cnn2cccc12,CHEMBL613426,Homo sapiens,Fu,%,=,11.0,
247,15740578,CHEMBL3624766,Fraction unbound in human 10% plasma by equilibrium dialysis,A,CHEMBL3622992,OCCN1CCc2c([nH]c3ccccc23)C1c1ccc(Cl)cc1,CHEMBL613424,Homo sapiens,Fu,%,,,
248,15740579,CHEMBL3624766,Fraction unbound in human 10% plasma by equilibrium dialysis,A,CHEMBL3622993,O=C(O)CCN1CCc2c([nH]c3ccccc23)C1c1ccc(Cl)cc1,CHEMBL613424,Homo sapiens,Fu,%,,,
249,15740580,CHEMBL3624766,Fraction unbound in human 10% plasma by equilibrium dialysis,A,CHEMBL3622997,C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2ccc(Cl)cc2)N1C[C@H](C)C(=O)O,CHEMBL613424,Homo sapiens,Fu,%,=,1.5,
250,15740581,CHEMBL3624766,Fraction unbound in human 10% plasma by equilibrium dialysis,A,CHEMBL3622999,C[C@H](CO)CN1[C@H](c2ccc(/C=C/C(=O)O)cc2)c2[nH]c3ccccc3c2C[C@H]1C,CHEMBL613424,Homo sapiens,Fu,%,=,4.6,
251,15740582,CHEMBL3624766,Fraction unbound in human 10% plasma by equilibrium dialysis,A,CHEMBL3623001,CC(C)CN1[C@H](c2ccc(/C=C/C(=O)O)cc2)c2[nH]c3ccccc3c2C[C@H]1C,CHEMBL613424,Homo sapiens,Fu,%,=,0.51,
252,15740583,CHEMBL3624766,Fraction unbound in human 10% plasma by equilibrium dialysis,A,CHEMBL3623004,C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2c(F)cc(/C=C/C(=O)O)cc2F)N1CC(C)(C)F,CHEMBL613424,Homo sapiens,Fu,%,=,0.26,
264,18079365,CHEMBL4017074,Fraction unbound in human plasma at 1 uM after 6 hrs by LC-MS/MS based equilibrium dialysis method,A,CHEMBL2381192,Cn1ncc(-c2nn(C)c3ncnc(N4CCC4)c23)c1-c1ccc(C(F)(F)F)cc1,CHEMBL613424,Homo sapiens,Fu,%,=,17.0,
266,18486523,CHEMBL4186382,Fraction unbound in human plasma at 5 uM after 4 hrs by LC-MS/MS-based equilibrium dialysis method,A,CHEMBL4205336,CC(C)[C@H](NC(=O)c1ccc2ccccc2c1)C(=O)N1[C@H]2CC[C@](O)(CC2)[C@H]1C(=O)N[C@H]1CC(=O)OC1O,CHEMBL612558,Homo sapiens,Fu,%,=,12.0,
291,25604455,CHEMBL5359291,Plasma protein binding in human assessed as unbound fraction,A,CHEMBL5400263,Cc1nnc(-c2ccc(-c3cccc4c3C(=O)N([C@H](C3CC3)C(C)(C)O)C4)cc2)o1,CHEMBL612558,Homo sapiens,Fu,%,=,3.2,
292,25604456,CHEMBL5359291,Plasma protein binding in human assessed as unbound fraction,A,CHEMBL5411678,Cc1nnc(-c2ccc(-c3cc(F)cc4c3C(=O)N([C@H](C3CC3)C(C)(C)O)C4)cc2)o1,CHEMBL612558,Homo sapiens,Fu,%,=,4.6,
293,25604457,CHEMBL5359291,Plasma protein binding in human assessed as unbound fraction,A,CHEMBL5415209,Cc1nnc(-c2ccc(-c3c(F)c(F)cc4c3C(=O)N([C@H](C3CC3)C(C)(C)O)C4)cc2)o1,CHEMBL612558,Homo sapiens,Fu,%,=,9.8,
294,25604458,CHEMBL5359291,Plasma protein binding in human assessed as unbound fraction,A,CHEMBL5409280,Cc1nnc(-c2ccc(-c3cc(F)c(F)c4c3C(=O)N([C@H](C3CC3)C(C)(C)O)C4)cc2)o1,CHEMBL612558,Homo sapiens,Fu,%,=,5.0,
295,25604459,CHEMBL5359291,Plasma protein binding in human assessed as unbound fraction,A,CHEMBL5433486,Cc1nnc(-c2ccc(-c3c(F)c(F)cc4c3C(=O)N([C@@H](C(C)(C)O)C(F)(F)F)C4)cc2)o1,CHEMBL612558,Homo sapiens,Fu,%,=,6.7,
296,25679553,CHEMBL5379426,Plasma protein binding in human assessed as unbound fraction,A,CHEMBL5399273,C#C[C@H](CC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)C1(c2ccc(OC(F)(F)F)cc2)CC1,CHEMBL612558,Homo sapiens,Fu,%,=,37.0,
