,activity_id,assay_chembl_id,molecule_chembl_id,type,standard_units,relation,standard_value,target_chembl_id,target_organism,assay_description,assay_type,smiles,clint,units
14413,5162238,CHEMBL1662876,CHEMBL387675,CL,mL.min-1.kg-1,=,0.9917,CHEMBL372,Homo sapiens,"Unbound clearance in healthy human at 6 mg/kg, iv administered as 30 mins infusion every 24 hrs measured on day 1",A,CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,0.9917,mL.min-1.kg-1
14414,5162239,CHEMBL1662875,CHEMBL387675,CL,mL.min-1.kg-1,=,0.8333,CHEMBL372,Homo sapiens,"Unbound clearance in healthy human at 8 mg/kg, iv administered as 30 mins infusion every 24 hrs measured on day 1",A,CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,0.8333,mL.min-1.kg-1
14415,5162240,CHEMBL1662874,CHEMBL387675,CL,mL.min-1.kg-1,=,1.048,CHEMBL372,Homo sapiens,"Unbound clearance in healthy human at 4 mg/kg, iv administered as 30 mins infusion every 24 hrs measured on day 7",A,CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,1.048,mL.min-1.kg-1
14416,5162241,CHEMBL1662873,CHEMBL387675,CL,mL.min-1.kg-1,=,0.9967,CHEMBL372,Homo sapiens,"Unbound clearance in healthy human at 6 mg/kg, iv administered as 30 mins infusion every 24 hrs measured on day 7",A,CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,0.9967,mL.min-1.kg-1
14417,5162242,CHEMBL1662872,CHEMBL387675,CL,mL.min-1.kg-1,=,0.6817,CHEMBL372,Homo sapiens,"Unbound clearance in healthy human at 8 mg/kg, iv administered as 30 mins infusion every 24 hrs measured on day 7",A,CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,0.6817,mL.min-1.kg-1
14418,5162243,CHEMBL1662871,CHEMBL387675,CL,mL.min-1.kg-1,=,0.745,CHEMBL372,Homo sapiens,"Unbound clearance in healthy human at 8 mg/kg, iv administered as 30 mins infusion every 24 hrs measured on day 14",A,CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,0.745,mL.min-1.kg-1
14419,5162273,CHEMBL1655795,CHEMBL387675,CL,mL.min-1.kg-1,=,0.2585,CHEMBL372,Homo sapiens,"Clearance in cancer patient with neutropenic fever at 6 mg/kg, iv administered as 30 mins infusion every 24 hrs",A,CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,0.2585,mL.min-1.kg-1
14453,5195231,CHEMBL1671557,CHEMBL556506,CL,mL.min-1.kg-1,=,4.3,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsome,A,C[C@H](C1=C(CCN(C)C)Cc2ccccc21)c1cnccn1,4.3,mL.min-1.kg-1
14501,5200575,CHEMBL1670714,CHEMBL1642362,CL,mL.min-1.g-1,=,137.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsome assessed per mg of protein,A,O=C(NC1CCCCC1)[C@H](C1CCCCC1)n1c(-c2ccc(Cl)cc2)nc2cc(F)c(Cl)cc21,0.137,mL.min-1.kg-1
14502,5200576,CHEMBL1670714,CHEMBL1668238,CL,mL.min-1.g-1,=,221.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsome assessed per mg of protein,A,O=C(NC1CCCCC1)[C@H](C1CCCCC1)n1c(-c2ccc(Cl)cc2)nc2cc(F)c(F)cc21,0.221,mL.min-1.kg-1
14503,5200577,CHEMBL1670714,CHEMBL1668239,CL,mL.min-1.g-1,=,30.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsome assessed per mg of protein,A,O=C(N[C@H]1CC[C@H](O)CC1)[C@H](C1CCCCC1)n1c(-c2ccc(Cl)cc2)nc2cc(F)c(F)cc21,0.03,mL.min-1.kg-1
14504,5200578,CHEMBL1670714,CHEMBL1668240,CL,mL.min-1.g-1,=,5.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsome assessed per mg of protein,A,O=C(N[C@H]1CC[C@H](C(=O)O)CC1)[C@H](C1CCCCC1)n1c(-c2ccc(Cl)cc2)nc2cc(F)c(F)cc21,0.005,mL.min-1.kg-1
14505,5200579,CHEMBL1670714,CHEMBL1615153,CL,mL.min-1.g-1,=,8.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsome assessed per mg of protein,A,O=C(O)c1ccc(NC(=O)[C@H](C2CCCCC2)n2c(-c3ccc(Cl)cc3)nc3cc(F)c(F)cc32)cc1,0.008,mL.min-1.kg-1
