,activity_id,assay_chembl_id,molecule_chembl_id,type,standard_units,relation,standard_value,target_chembl_id,target_organism,assay_description,assay_type,smiles,clint,units
0,33031,CHEMBL695026,CHEMBL306457,CL,mL.min-1.kg-1,=,47.7,CHEMBL372,Homo sapiens,In vitro oxidative metabolic stability measured by the rate of drug consumption in human liver microsomes as intrinsic clearance values,F,NC(=O)C(C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cnc2ccccc2n1)C1(O)CCCCC1,47.7,mL.min-1.kg-1
1,34270,CHEMBL695026,CHEMBL66457,CL,mL.min-1.kg-1,=,4.9,CHEMBL372,Homo sapiens,In vitro oxidative metabolic stability measured by the rate of drug consumption in human liver microsomes as intrinsic clearance values,F,CC(C)(O)CC[C@H](C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cnc2ccccc2n1)C(N)=O,4.9,mL.min-1.kg-1
2,34274,CHEMBL695026,CHEMBL304053,CL,mL.min-1.kg-1,=,16.5,CHEMBL372,Homo sapiens,In vitro oxidative metabolic stability measured by the rate of drug consumption in human liver microsomes as intrinsic clearance values,F,CC(C)(O)CCC(C[C@H](O)[C@H](Cc1ccccc1F)NC(=O)c1cnc2ccccc2n1)C(N)=O,16.5,mL.min-1.kg-1
3,35507,CHEMBL695026,CHEMBL68366,CL,mL.min-1.kg-1,=,8.0,CHEMBL372,Homo sapiens,In vitro oxidative metabolic stability measured by the rate of drug consumption in human liver microsomes as intrinsic clearance values,F,CC(C)(F)CC[C@H](C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cnc2ccccc2n1)C(N)=O,8.0,mL.min-1.kg-1
13,39099,CHEMBL695026,CHEMBL303673,CL,mL.min-1.kg-1,=,6.1,CHEMBL372,Homo sapiens,In vitro oxidative metabolic stability measured by the rate of drug consumption in human liver microsomes as intrinsic clearance values,F,O=C(N[C@@H](Cc1ccccc1)[C@@H](O)CC(C(=O)NO)C1CCC(F)(F)CC1)c1cnc2ccccc2n1,6.1,mL.min-1.kg-1
22,46263,CHEMBL695026,CHEMBL66159,CL,mL.min-1.kg-1,=,32.7,CHEMBL372,Homo sapiens,In vitro oxidative metabolic stability measured by the rate of drug consumption in human liver microsomes as intrinsic clearance values,F,CC(C)(F)CCC(C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cnc2ccccc2n1)C(=O)NN,32.7,mL.min-1.kg-1
38,53965,CHEMBL695026,CHEMBL304358,CL,mL.min-1.kg-1,=,202.0,CHEMBL372,Homo sapiens,In vitro oxidative metabolic stability measured by the rate of drug consumption in human liver microsomes as intrinsic clearance values,F,CC(C)CC[C@H](C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cnc2ccccc2n1)C(N)=O,202.0,mL.min-1.kg-1
40,57677,CHEMBL695026,CHEMBL65784,CL,mL.min-1.kg-1,=,299.0,CHEMBL372,Homo sapiens,In vitro oxidative metabolic stability measured by the rate of drug consumption in human liver microsomes as intrinsic clearance values,F,CC(C)(F)CCC(C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cnc2ccccc2n1)C(=O)NCc1ccccc1,299.0,mL.min-1.kg-1
50,64259,CHEMBL695026,CHEMBL302533,CL,mL.min-1.kg-1,=,35.0,CHEMBL372,Homo sapiens,In vitro oxidative metabolic stability measured by the rate of drug consumption in human liver microsomes as intrinsic clearance values,F,NC(=O)C(C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cnc2ccccc2n1)C1CCC(F)(F)CC1,35.0,mL.min-1.kg-1
51,64263,CHEMBL695026,CHEMBL302320,CL,mL.min-1.kg-1,=,6.4,CHEMBL372,Homo sapiens,In vitro oxidative metabolic stability measured by the rate of drug consumption in human liver microsomes as intrinsic clearance values,F,NC(=O)C(C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cnc2ccccc2n1)C1(O)CCC(F)(F)CC1,6.4,mL.min-1.kg-1
52,64267,CHEMBL695026,CHEMBL308473,CL,mL.min-1.kg-1,=,6.0,CHEMBL372,Homo sapiens,In vitro oxidative metabolic stability measured by the rate of drug consumption in human liver microsomes as intrinsic clearance values,F,CC(C)(O)CCC(C[C@H](O)[C@H](Cc1cccc(F)c1)NC(=O)c1cnc2ccccc2n1)C(N)=O,6.0,mL.min-1.kg-1
60,66855,CHEMBL695026,CHEMBL68145,CL,mL.min-1.kg-1,=,242.0,CHEMBL372,Homo sapiens,In vitro oxidative metabolic stability measured by the rate of drug consumption in human liver microsomes as intrinsic clearance values,F,NC(=O)C(C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cnc2ccccc2n1)C1CCCCC1,242.0,mL.min-1.kg-1
62,70756,CHEMBL695026,CHEMBL305423,CL,mL.min-1.kg-1,=,3.6,CHEMBL372,Homo sapiens,In vitro oxidative metabolic stability measured by the rate of drug consumption in human liver microsomes as intrinsic clearance values,F,CC(C)(F)CCC(C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cnc2ccccc2n1)C(=O)NO,3.6,mL.min-1.kg-1
362,345990,CHEMBL818581,CHEMBL57049,CL,mL.min-1.g-1,=,4.0,CHEMBL372,Homo sapiens,Intrinsic clearance in human liver microsomes,A,Cn1cc(Cc2cn(CC(=O)N3CCN(c4ccc(Cl)cc4)CC3)c(SCc3ccc(F)cc3)nc2=O)cnc1=O,0.004,mL.min-1.kg-1
364,345996,CHEMBL818581,CHEMBL58151,CL,mL.min-1.g-1,=,11.0,CHEMBL372,Homo sapiens,Intrinsic clearance in human liver microsomes,A,Cn1cc(Cc2cn(CC(=O)N3CCN(c4ccc(Cl)c(Cl)c4)CC3)c(SCc3ccc(F)cc3)nc2=O)cn1,0.011,mL.min-1.kg-1
383,364233,CHEMBL818581,CHEMBL291535,CL,mL.min-1.g-1,=,7.0,CHEMBL372,Homo sapiens,Intrinsic clearance in human liver microsomes,A,Cc1ncc(Cc2cn(CC(=O)N3CCN(c4ccc(Cl)cc4)CC3)c(SCc3ccc(F)cc3)nc2=O)cn1,0.007,mL.min-1.kg-1
389,374218,CHEMBL821903,CHEMBL417780,CL,mL.min-1.g-1,=,3.0,CHEMBL372,Homo sapiens,Intrinsic clearance in human liver microsomes,A,COc1ncc(Cc2cn(CC(=O)N3CCN(c4ccc(Cl)cc4)CC3)c(SCc3ccc(F)cc3)nc2=O)cn1,0.003,mL.min-1.kg-1
392,375524,CHEMBL818581,CHEMBL56954,CL,mL.min-1.g-1,=,7.0,CHEMBL372,Homo sapiens,Intrinsic clearance in human liver microsomes,A,COc1ncc(Cc2cn(CC(=O)N3CCN(c4ccc(Cl)c(Cl)c4)CC3)c(SCc3ccc(F)cc3)nc2=O)cn1,0.007,mL.min-1.kg-1
468,469461,CHEMBL625973,CHEMBL85653,CL,mL.min-1.kg-1,=,66.67,CHEMBL372,Homo sapiens,Clearance of compound in human plasma,A,Cc1ccc(NC(=O)c2cccc(CN3C(=O)N(Cc4cccc(C(=O)Nc5ccc(C)cn5)c4)[C@H](Cc4ccccc4)[C@H](O)[C@@H](O)[C@H]3Cc3ccccc3)c2)nc1,66.67,mL.min-1.kg-1
602,570919,CHEMBL874499,CHEMBL64148,CL,mL.min-1.kg-1,=,84.0,CHEMBL372,Homo sapiens,Pharmacokinetic data was determined as intrinsic clearance in the human liver microsomes,A,COc1cccc(-c2c(C)n(Cc3c(F)cccc3F)c(=O)n(CCNCCc3ccccn3)c2=O)c1,84.0,mL.min-1.kg-1
643,608116,CHEMBL625493,CHEMBL343495,CL,mL.min-1.kg-1,=,73.33,CHEMBL372,Homo sapiens,plasma clearance in human,A,N=C(N)c1ccc2ncn(CC(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cc3)c2c1,73.33,mL.min-1.kg-1
657,619626,CHEMBL635284,CHEMBL136846,CL,mL.min-1.kg-1,=,33.33,CHEMBL372,Homo sapiens,plasma clearance in human,A,N=C(N)c1ccc2[nH]cc(CC(=O)Nc3ccc(-c4ccccc4S(N)(=O)=O)cc3)c2c1,33.33,mL.min-1.kg-1
688,659575,CHEMBL624460,CHEMBL312238,CL,mL.min-1.kg-1,=,34.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,CC(C)(C)NC(=O)[C@@H]1CN(C(C)(C)c2cc3cnccc3o2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2OC[C@H]1O,34.0,mL.min-1.kg-1
955,905128,CHEMBL635503,CHEMBL45816,CL,mL.min-1.kg-1,=,7.0,CHEMBL372,Homo sapiens,In vivo clearance in human.,A,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,7.0,mL.min-1.kg-1
957,905134,CHEMBL635503,CHEMBL655,CL,mL.min-1.kg-1,=,11.0,CHEMBL372,Homo sapiens,In vivo clearance in human.,A,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,11.0,mL.min-1.kg-1
961,906455,CHEMBL875174,CHEMBL113,CL,mL.min-1.kg-1,=,2.0,CHEMBL372,Homo sapiens,In vivo clearance in human,A,Cn1c(=O)c2c(ncn2C)n(C)c1=O,2.0,mL.min-1.kg-1
969,910341,CHEMBL875174,CHEMBL12,CL,mL.min-1.kg-1,=,0.4,CHEMBL372,Homo sapiens,In vivo clearance in human,A,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0.4,mL.min-1.kg-1
972,911736,CHEMBL635503,CHEMBL568,CL,mL.min-1.kg-1,=,1.1,CHEMBL372,Homo sapiens,In vivo clearance in human.,A,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,1.1,mL.min-1.kg-1
978,912981,CHEMBL635503,CHEMBL957,CL,mL.min-1.kg-1,=,3.7,CHEMBL372,Homo sapiens,In vivo clearance in human.,A,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,3.7,mL.min-1.kg-1
983,914448,CHEMBL875174,CHEMBL31601,CL,mL.min-1.kg-1,=,19.6,CHEMBL372,Homo sapiens,In vivo clearance in human,A,CC(C)(C)S(=O)(=O)C[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)C1CC1,19.6,mL.min-1.kg-1
986,915691,CHEMBL875174,CHEMBL580,CL,mL.min-1.kg-1,=,1.1,CHEMBL372,Homo sapiens,In vivo clearance in human,A,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,1.1,mL.min-1.kg-1
997,922995,CHEMBL635503,CHEMBL27,CL,mL.min-1.kg-1,=,13.0,CHEMBL372,Homo sapiens,In vivo clearance in human.,A,CC(C)NCC(O)COc1cccc2ccccc12,13.0,mL.min-1.kg-1
1002,924157,CHEMBL875174,CHEMBL475534,CL,mL.min-1.kg-1,=,18.7,CHEMBL372,Homo sapiens,In vivo clearance in human,A,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,18.7,mL.min-1.kg-1
1010,925709,CHEMBL875174,CHEMBL517427,CL,mL.min-1.kg-1,=,20.0,CHEMBL372,Homo sapiens,In vivo clearance in human,A,COC(=O)C1=C(C#N)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,20.0,mL.min-1.kg-1
1016,929771,CHEMBL875174,CHEMBL190,CL,mL.min-1.kg-1,=,0.6,CHEMBL372,Homo sapiens,In vivo clearance in human,A,Cn1c(=O)c2[nH]cnc2n(C)c1=O,0.6,mL.min-1.kg-1
1020,931154,CHEMBL875174,CHEMBL1484,CL,mL.min-1.kg-1,=,7.0,CHEMBL372,Homo sapiens,In vivo clearance in human,A,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,7.0,mL.min-1.kg-1
1024,932510,CHEMBL875174,CHEMBL80,CL,mL.min-1.kg-1,=,25.0,CHEMBL372,Homo sapiens,In vivo clearance in human,A,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,25.0,mL.min-1.kg-1
1027,932535,CHEMBL635503,CHEMBL23,CL,mL.min-1.kg-1,=,11.5,CHEMBL372,Homo sapiens,In vivo clearance in human.,A,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,11.5,mL.min-1.kg-1
1031,933897,CHEMBL875174,CHEMBL1324,CL,mL.min-1.kg-1,=,2.7,CHEMBL372,Homo sapiens,In vivo clearance in human,A,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,2.7,mL.min-1.kg-1
1035,935454,CHEMBL875174,CHEMBL277474,CL,mL.min-1.kg-1,=,0.5,CHEMBL372,Homo sapiens,In vivo clearance in human,A,Cc1cc(=O)n(-c2ccccc2)n1C,0.5,mL.min-1.kg-1
1040,939587,CHEMBL635503,CHEMBL1480,CL,mL.min-1.kg-1,=,11.0,CHEMBL372,Homo sapiens,In vivo clearance in human.,A,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,11.0,mL.min-1.kg-1
1048,944862,CHEMBL635503,CHEMBL146506,CL,mL.min-1.kg-1,=,11.0,CHEMBL372,Homo sapiens,In vivo clearance in human.,A,C/C(=C\c1ccc(OCCN2CCOCC2)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C,11.0,mL.min-1.kg-1
2047,1654452,CHEMBL867574,CHEMBL436755,CL,mL.min-1.g-1,=,527.0,CHEMBL372,Homo sapiens,Intrinsic clearance (CL) in human liver microsomes at 2 uM,A,COC(=O)N[C@H](C(=O)NN(Cc1ccccc1)C[C@@](O)(Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)C(C)(C)C,0.527,mL.min-1.kg-1
2066,1659616,CHEMBL861623,CHEMBL371533,CL,mL.min-1.g-1,=,42.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,COc1cc2c(cc1-c1cnco1)C(=O)N(C)C1(CCN(C(=O)OC(C)(C)C)C1)N2,0.042,mL.min-1.kg-1
2067,1659617,CHEMBL861623,CHEMBL202190,CL,mL.min-1.g-1,=,18.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,COC(=O)[C@H]1C[C@]2(CN1C(=O)OC(C)(C)C)Nc1cc(OC)c(-c3cnco3)cc1C(=O)N2C,0.018,mL.min-1.kg-1
2068,1659618,CHEMBL861623,CHEMBL372753,CL,mL.min-1.g-1,=,38.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,COc1cc2c(cc1-c1cnco1)C(=O)N(C)C1(CCN(C(=O)N(C)OC)C1)N2,0.038,mL.min-1.kg-1
2069,1659619,CHEMBL861623,CHEMBL196912,CL,mL.min-1.g-1,=,612.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,COc1cc2c(cc1-c1cnco1)C(=O)N(C)C1(CCN(C(=O)N(C(C)C)C(C)C)C1)N2,0.612,mL.min-1.kg-1
2070,1659620,CHEMBL861623,CHEMBL198526,CL,mL.min-1.g-1,=,152.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,COc1cc2c(cc1-c1cnco1)C(=O)N(C)C1(CCN(C(=O)N3CCCCC3)C1)N2,0.152,mL.min-1.kg-1
2071,1659621,CHEMBL861623,CHEMBL198729,CL,mL.min-1.g-1,=,92.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,CCN(CC)C(=O)N1CCC2(C1)Nc1cc(OC)c(-c3cnco3)cc1C(=O)N2C,0.092,mL.min-1.kg-1
2072,1659622,CHEMBL861623,CHEMBL199075,CL,mL.min-1.g-1,=,97.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,COc1cc2c(cc1-c1cnco1)C(=O)N(C)C1(CCN(C(=O)N(C)c3ccc(F)cc3F)C1)N2,0.097,mL.min-1.kg-1
2073,1659623,CHEMBL861623,CHEMBL370575,CL,mL.min-1.g-1,=,144.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,COc1cc2c(cc1-c1cnco1)C(=O)N(C)C1(CCN(C(=O)N(C)c3ccccc3)C1)N2,0.144,mL.min-1.kg-1
2074,1659624,CHEMBL861623,CHEMBL372187,CL,mL.min-1.g-1,=,19.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,COc1cc2c(cc1-c1cnco1)C(=O)N(C)C1(CCN(C(=O)Nc3ccccc3)C1)N2,0.019,mL.min-1.kg-1
2075,1659625,CHEMBL861623,CHEMBL373029,CL,mL.min-1.g-1,=,11.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,CCNC(=O)N1CCC2(C1)Nc1cc(OC)c(-c3cnco3)cc1C(=O)N2C,0.011,mL.min-1.kg-1
2076,1659626,CHEMBL861623,CHEMBL198536,CL,mL.min-1.g-1,=,46.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,COc1cc2c(cc1-c1cnco1)C(=O)N(C)C1(CCN(C(=O)C(C)(C)C)C1)N2,0.046,mL.min-1.kg-1
2077,1659627,CHEMBL861623,CHEMBL197163,CL,mL.min-1.g-1,=,24.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,CCOC(=O)N1CCC2(C1)Nc1cc(OC)c(-c3cnco3)cc1C(=O)N2C,0.024,mL.min-1.kg-1
2108,1665914,CHEMBL860340,CHEMBL383610,CL,mL.min-1.g-1,=,68.0,CHEMBL613373,Homo sapiens,Clearance in human microsomes,A,O=C1NCN(c2ccccc2)C12CCN([C@H]1CCCC[C@H]1c1ccccc1)CC2,0.068,mL.min-1.kg-1
2109,1665915,CHEMBL860340,CHEMBL200141,CL,mL.min-1.g-1,=,5.0,CHEMBL613373,Homo sapiens,Clearance in human microsomes,A,CCCN1CNC(=O)C12CCN([C@@H]1CCCC[C@@]1(O)c1ccccc1)CC2,0.005,mL.min-1.kg-1
2110,1665916,CHEMBL860340,CHEMBL372402,CL,mL.min-1.g-1,=,25.0,CHEMBL613373,Homo sapiens,Clearance in human microsomes,A,CCCN1CNC(=O)C12CCN([C@H]1CCCC[C@H]1c1ccccc1)CC2,0.025,mL.min-1.kg-1
2111,1665917,CHEMBL860340,CHEMBL436295,CL,mL.min-1.g-1,=,92.0,CHEMBL613373,Homo sapiens,Clearance in human microsomes,A,O=C1NCN(c2ccc(F)cc2)C12CCN([C@@H]1CCCC[C@@]1(O)c1ccc(F)cc1)CC2,0.092,mL.min-1.kg-1
2220,1683150,CHEMBL862384,CHEMBL201799,CL,mL.min-1.g-1,=,18.0,CHEMBL613373,Homo sapiens,Clearance in human liver microsome,A,CCCCCSc1nc(O)c2sc(N)nc2n1,0.018,mL.min-1.kg-1
2221,1683151,CHEMBL862384,CHEMBL380947,CL,mL.min-1.g-1,=,31.0,CHEMBL613373,Homo sapiens,Clearance in human liver microsome,A,CC(C)(CO)Nc1nc(SCc2cccc(F)c2F)nc2nc(N)sc12,0.031,mL.min-1.kg-1
2222,1683152,CHEMBL862384,CHEMBL274737,CL,mL.min-1.g-1,=,6.0,CHEMBL613373,Homo sapiens,Clearance in human liver microsome,A,CC[C@H](CO)Nc1nc(SCc2ccccc2)nc2nc(N)sc12,0.006,mL.min-1.kg-1
2223,1683153,CHEMBL862384,CHEMBL370387,CL,mL.min-1.g-1,=,2.0,CHEMBL613373,Homo sapiens,Clearance in human liver microsome,A,Nc1nc2nc(SCc3cccc(F)c3F)nc(O)c2s1,0.002,mL.min-1.kg-1
2242,1686447,CHEMBL859419,CHEMBL239800,CL,mL.min-1.g-1,=,50.0,CHEMBL372,Homo sapiens,Clearance in human,A,CN1CC(=O)N=C1NC(=O)Nc1cccc(Cl)c1,0.05,mL.min-1.kg-1
2286,1696917,CHEMBL867713,CHEMBL206467,CL,mL.min-1.g-1,=,154.0,CHEMBL372,Homo sapiens,Intrinsic clearance in human liver microsome at 2 uM,A,COC(=O)N[C@H](C(=O)NN(Cc1ccc(-c2cccnc2)cc1)C[C@@](O)(Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)C(C)(C)C,0.154,mL.min-1.kg-1
2287,1696918,CHEMBL867713,CHEMBL381169,CL,mL.min-1.g-1,=,190.0,CHEMBL372,Homo sapiens,Intrinsic clearance in human liver microsome at 2 uM,A,COC(=O)N[C@H](C(=O)NN(Cc1cccc(-c2cccnc2)c1)C[C@@](O)(Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)C(C)(C)C,0.19,mL.min-1.kg-1
2429,1710563,CHEMBL865708,CHEMBL208505,CL,mL.min-1.g-1,=,140.0,CHEMBL613373,Homo sapiens,Clearance in human liver microsomes,A,Fc1ccc(-c2nccc(Sc3ccc(Cl)c(Cl)c3)n2)nc1,0.14,mL.min-1.kg-1
2430,1710569,CHEMBL865708,CHEMBL208391,CL,mL.min-1.g-1,=,90.0,CHEMBL613373,Homo sapiens,Clearance in human liver microsomes,A,Clc1ccc(Sc2ccnc(-c3ccccn3)n2)cc1Cl,0.09,mL.min-1.kg-1
2439,1711652,CHEMBL870778,CHEMBL205447,CL,mL.min-1.kg-1,=,10.0,CHEMBL613373,Homo sapiens,Clearance in human liver microsome,A,COc1ccccc1Oc1cccc(CN2CCC(NC(=O)C3(c4ccccc4)CCNCC3)CC2)c1,10.0,mL.min-1.kg-1
2456,1714692,CHEMBL870043,CHEMBL207577,CL,mL.min-1.g-1,=,8.4,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,O=C(O)c1cccc(C2=C(c3cc(Cl)ccc3OCc3ccccc3)CCC2)c1,0.008400000000000001,mL.min-1.kg-1
2458,1714695,CHEMBL870043,CHEMBL377852,CL,mL.min-1.g-1,=,1.6,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,Cc1ccc(-c2cc(Cl)ccc2OCc2ccccc2)n1-c1cccc(C(=O)O)c1,0.0016,mL.min-1.kg-1
2460,1714698,CHEMBL870043,CHEMBL377649,CL,mL.min-1.g-1,=,1.8,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,Cc1ccc(-c2cc(Br)ccc2OCc2ccccc2)n1-c1cccc(C(=O)O)c1,0.0018,mL.min-1.kg-1
2462,1714701,CHEMBL870043,CHEMBL383090,CL,mL.min-1.g-1,=,1.5,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,O=C(O)c1cccc(-n2cccc2-c2cc(Cl)ccc2OCc2ccccc2)c1,0.0015,mL.min-1.kg-1
2464,1714704,CHEMBL870043,CHEMBL207688,CL,mL.min-1.g-1,=,7.9,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,Cc1ccc(-c2cccc(C(=O)O)c2)n1-c1cc(Cl)ccc1OCc1ccccc1,0.0079,mL.min-1.kg-1
2466,1714706,CHEMBL870043,CHEMBL207293,CL,mL.min-1.g-1,=,0.96,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,O=C(O)c1cccc(-n2cncc2-c2cc(Cl)ccc2OCc2ccccc2)c1,0.0009599999999999999,mL.min-1.kg-1
2469,1714720,CHEMBL870043,CHEMBL209244,CL,mL.min-1.g-1,=,1.4,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,O=C(O)c1cccc(-c2ccncc2-c2cc(Cl)ccc2OCc2ccccc2)c1,0.0014,mL.min-1.kg-1
2581,1727385,CHEMBL853242,CHEMBL120735,CL,mL.min-1.kg-1,=,41.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,CCN(CCNC(=O)Nc1ccccc1Br)c1cccc(C)c1,41.0,mL.min-1.kg-1
2582,1727389,CHEMBL853242,CHEMBL208923,CL,mL.min-1.kg-1,=,19.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,O=C(NCCN1CCc2cc(F)ccc21)Nc1ccccc1Br,19.0,mL.min-1.kg-1
2590,1727906,CHEMBL859975,CHEMBL333950,CL,mL.min-1.g-1,=,7.0,CHEMBL372,Homo sapiens,Clearance in human liver S9 fraction,A,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)OCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,0.007,mL.min-1.kg-1
2592,1727908,CHEMBL859975,CHEMBL208063,CL,mL.min-1.g-1,=,278.0,CHEMBL372,Homo sapiens,Clearance in human liver S9 fraction,A,C=C1/C(=C\C=C2/CCC[C@]3(C)C([C@H](C)OCC(=O)NCC(F)(F)C(F)(F)F)=CCC23)C[C@@H](O)C[C@@H]1O,0.278,mL.min-1.kg-1
2593,1727909,CHEMBL859975,CHEMBL379726,CL,mL.min-1.g-1,=,1421.0,CHEMBL372,Homo sapiens,Clearance in human liver S9 fraction,A,C=C1/C(=C\C=C2/CCC[C@]3(C)C([C@H](C)OCC(=O)OC(C)(CC)CC)=CCC23)C[C@@H](O)C[C@@H]1O,1.421,mL.min-1.kg-1
2650,1737965,CHEMBL868671,CHEMBL413059,CL,mL.min-1.g-1,=,3.4,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,CC(=O)O[C@H]1C[C@H]2[C@@H]([C@H](OC(C)=O)C[C@@H]3CC4(CC[C@@]32C)OOC2(CCC(C(N)=O)CC2)OO4)[C@@H]2CC[C@H]([C@H](C)CCC(N)=O)[C@@]12C,0.0034,mL.min-1.kg-1
2679,1742941,CHEMBL870930,CHEMBL211181,CL,mL.min-1.g-1,=,64.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsome,A,O=c1ccn(CCCCNC(c2ccccc2)(c2ccccc2)c2ccccc2)c(=O)[nH]1,0.064,mL.min-1.kg-1
2680,1742945,CHEMBL870930,CHEMBL212690,CL,mL.min-1.g-1,=,35.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsome,A,O=c1ccn(CCCCCCO[Si](c2ccccc2)(c2ccccc2)c2ccccc2)c(=O)[nH]1,0.035,mL.min-1.kg-1
2681,1742950,CHEMBL870930,CHEMBL387177,CL,mL.min-1.g-1,=,69.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsome,A,O=c1ccn(CCCCO[Si](c2ccccc2)(c2ccccc2)c2ccccc2)c(=O)[nH]1,0.069,mL.min-1.kg-1
2682,1742959,CHEMBL870930,CHEMBL211067,CL,mL.min-1.g-1,=,68.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsome,A,O=c1ccn(CCCCOC(c2ccccc2)(c2ccccc2)c2ccccc2)c(=O)[nH]1,0.068,mL.min-1.kg-1
2683,1742960,CHEMBL870930,CHEMBL424704,CL,mL.min-1.g-1,=,96.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsome,A,O=c1ccn(COCCOC(c2ccccc2)(c2ccccc2)c2ccccc2)c(=O)[nH]1,0.096,mL.min-1.kg-1
2703,1746644,CHEMBL865556,CHEMBL212013,CL,mL.min-1.kg-1,=,27.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,CN(C)[C@H]1CCN(c2ccc(-n3ncc4cc(-c5ccc(C(F)(F)F)cc5)[se]c4c3=O)cn2)C1,27.0,mL.min-1.kg-1
2704,1746660,CHEMBL865556,CHEMBL211340,CL,mL.min-1.kg-1,=,155.0,CHEMBL613373,Homo sapiens,Intrinsic clearance in human liver microsomes,A,CCc1ccc(-c2cc3cnn(-c4ccc(N5CC[C@@H](NC)C5)nc4)c(=O)c3s2)cc1,155.0,mL.min-1.kg-1
