ancestor_id,total_descendants,pareto_rate,best_score,mean_score,max_mutations,survived_rounds
26,3900,0.08051282051282051,73.27735610408101,69.32046335381087,2,5
9,23500,0.08621276595744681,73.1757132008221,67.46419504765994,2,5
24,12200,0.09270491803278688,73.08823350693143,69.76450860512885,2,5
10,600,0.09833333333333333,72.19881322413538,68.49197628375762,2,5
21,200,0.44,69.83359135723643,67.32918151319646,2,2
22,200,0.285,69.75658333584039,67.43060023146379,2,2
3,100,0.0,69.06768816738816,67.24716037565213,2,1
18,100,0.0,68.66466421171415,66.8145767242618,2,1
4,100,0.52,68.6350728095978,67.63789480843693,2,1
1,100,0.0,68.35907406204906,66.34722167237854,2,1
5,100,0.31,68.04830575535573,66.43017761726236,2,1
14,100,0.0,67.06370937488437,65.66784185054759,2,1
11,100,0.0,66.96624485514488,65.98520088459689,2,1
23,100,0.02,66.46747203028451,63.92103651784789,2,1
27,100,0.0,66.33014552392058,65.30561853028918,2,1
29,100,0.01,66.29727248954745,65.12192631792742,2,1
28,100,0.37,65.89737287897285,64.6263732488946,2,1
12,100,0.0,65.78537969021718,64.48791230916304,2,1
15,100,0.45,65.25278232739481,62.15337690853127,2,1
7,100,0.44,65.18561829605578,64.47143769616955,2,1
0,100,0.57,64.89842795954041,63.53004345615954,2,1
13,100,0.22,64.54511973258224,60.9836848644365,2,1
8,100,0.02,64.46892799469045,62.212583204707315,2,1
6,100,0.0,64.43168211279462,63.65863496799959,2,1
17,100,0.23,64.37322443482442,63.291932752899875,2,1
20,100,0.0,64.27908496040995,62.708388895979006,2,1
16,100,0.0,64.23950639545637,63.144745785709645,2,1
19,100,0.0,63.94702307599806,61.86684574430201,2,1
2,100,0.24,63.83044118566616,62.58348420622894,2,1
25,100,0.01,62.83576563991564,61.44656119533707,2,1
