activity_id,assay_chembl_id,molecule_chembl_id,type,standard_units,relation,standard_value,target_chembl_id,target_organism,assay_description,assay_type,smiles,clint,units,assay_class
10960499,CHEMBL2061422,CHEMBL2058166,CL,mL.min-1.kg-1,=,44.33,CHEMBL375,Mus musculus,"Clearance in BALB/C mouse at 3 mg/kg, po",A,COCCNC(=O)c1cn2cc(-c3cnc(N)nc3)nc(N3CCOCC3)c2n1,44.33,mL.min-1.kg-1,species_only_mouse
10960500,CHEMBL2060301,CHEMBL2058171,CL,mL.min-1.kg-1,=,46.67,CHEMBL375,Mus musculus,"Clearance in BALB/C mouse at 10 mg/kg, po",A,COCCNC(=O)c1cn2c(Cl)c(-c3cnc(N)nc3)nc(N3CCOCC3)c2n1,46.67,mL.min-1.kg-1,species_only_mouse
10960501,CHEMBL2060301,CHEMBL2058172,CL,mL.min-1.kg-1,=,30.83,CHEMBL375,Mus musculus,"Clearance in BALB/C mouse at 10 mg/kg, po",A,COCCNC(=O)c1nc2c(N3CCOCC3)nc(-c3cnc(N)nc3)cn2c1C,30.83,mL.min-1.kg-1,species_only_mouse
10960799,CHEMBL2060809,CHEMBL2059066,CL,mL.min-1.kg-1,=,25.9,CHEMBL375,Mus musculus,"Clearance in Balb/c mouse plasma at 5 mg/kg, iv",A,CC1(C)NCCn2c1nc(-c1ccc(F)cc1)c2Nc1ccc(F)cc1,25.9,mL.min-1.kg-1,species_only_mouse
10960800,CHEMBL2060809,CHEMBL2058843,CL,mL.min-1.kg-1,=,12.5,CHEMBL375,Mus musculus,"Clearance in Balb/c mouse plasma at 5 mg/kg, iv",A,CC1(C)NC(=O)Cn2c1nc(-c1ccc(F)cc1)c2Nc1ccc(F)c(Cl)c1,12.5,mL.min-1.kg-1,species_only_mouse
10960801,CHEMBL2060809,CHEMBL2058838,CL,mL.min-1.kg-1,=,36.1,CHEMBL375,Mus musculus,"Clearance in Balb/c mouse plasma at 5 mg/kg, iv",A,Cc1ccc(Nc2c(-c3ccc(F)cc3)nc3n2CCN(C(=O)C(C)(C)N)C3(C)C)cc1,36.1,mL.min-1.kg-1,species_only_mouse
10960802,CHEMBL2060809,CHEMBL1800137,CL,mL.min-1.kg-1,=,60.0,CHEMBL375,Mus musculus,"Clearance in Balb/c mouse plasma at 5 mg/kg, iv",A,CC(C)(N)C(=O)N1CCn2c(nc(-c3ccc(F)cc3)c2Nc2ccc(F)cc2)C1,60.0,mL.min-1.kg-1,species_only_mouse
10960803,CHEMBL2060809,CHEMBL2057225,CL,mL.min-1.kg-1,=,27.5,CHEMBL375,Mus musculus,"Clearance in Balb/c mouse plasma at 5 mg/kg, iv",A,CC1(C)c2nc(-c3ccc(F)cc3)c(Nc3ccc(F)c(F)c3)n2CCN1C(=O)CN,27.5,mL.min-1.kg-1,species_only_mouse
10960804,CHEMBL2060809,CHEMBL2058833,CL,mL.min-1.kg-1,=,49.2,CHEMBL375,Mus musculus,"Clearance in Balb/c mouse plasma at 5 mg/kg, iv",A,CC1(C)c2nc(-c3ccc(F)cc3)c(Nc3ccc(F)cc3)n2CCN1C(=O)CN,49.2,mL.min-1.kg-1,species_only_mouse
10960805,CHEMBL2060809,CHEMBL1800836,CL,mL.min-1.kg-1,=,188.9,CHEMBL375,Mus musculus,"Clearance in Balb/c mouse plasma at 5 mg/kg, iv",A,NCC(=O)N1CCn2c(nc(-c3ccc(F)cc3)c2Nc2ccc(F)cc2)C1,188.9,mL.min-1.kg-1,species_only_mouse
