activity_id,assay_chembl_id,molecule_chembl_id,type,standard_units,relation,standard_value,target_chembl_id,target_organism,assay_description,assay_type,smiles,clint,units,assay_class
14666288,CHEMBL3268042,CHEMBL3263869,CL,mL.min-1.kg-1,=,1.22,CHEMBL376,Rattus norvegicus,"Clearance in Sprague-Dawley rat at 2 mg/kg, iv compound formulated with 5% DMSO, 10% cremophor and 85% water by LC-MS/MS analysis",A,COc1ccc(Oc2cc(C)c(-c3csc(NC(=O)c4ccnc(F)c4)n3)c(C)c2)cc1,1.22,mL.min-1.kg-1,species_only_rat
14667234,CHEMBL3268096,CHEMBL3261425,CL,mL.min-1.kg-1,=,78.0,CHEMBL376,Rattus norvegicus,Clearance in iv dosed rat,A,Cc1nn(C2CCCC2)c(C)c1S(=O)(=O)N[C@@H](C)CNc1cccc2c1cnn2-c1ccc(F)nc1,78.0,mL.min-1.kg-1,species_only_rat
14669620,CHEMBL3267112,CHEMBL3262028,CL,mL.min-1.kg-1,=,28.33,CHEMBL376,Rattus norvegicus,"Clearance in Sprague-Dawley rat at 10 mg/kg, po and 2.5 mg/kg, iv by LC-MS/MS analysis",A,COCCn1cc(-c2c(C)nc3c(N4CCOCC4)nccn23)cn1,28.33,mL.min-1.kg-1,species_only_rat
14670098,CHEMBL3270715,CHEMBL3262163,CL,mL.min-1.kg-1,=,86.0,CHEMBL376,Rattus norvegicus,"Clearance in rat at 1 mg/kg, iv",A,COc1ccc(NC(=O)N2CCNC[C@@H]2COc2cccnc2)cc1.Cl,86.0,mL.min-1.kg-1,species_only_rat
14672055,CHEMBL3270304,CHEMBL3265032,CL,mL.min-1.kg-1,=,4.5,CHEMBL376,Rattus norvegicus,"Clearance in Sprague-Dawley rat at 0.4 mg/kg, iv",A,c1cn2cc(-c3ccc4cn[nH]c4c3)nc(Nc3ccc(N4CCOCC4)cc3)c2n1,4.5,mL.min-1.kg-1,species_only_rat
14672090,CHEMBL3265585,CHEMBL3259820,CL,mL.min-1.kg-1,=,50.83,CHEMBL376,Rattus norvegicus,"Clearance in Sprague-Dawley rat at 10 mg/kg, po",A,COc1ccc(Nc2nc(-c3ccc(C(N)=O)cc3)cn3ccnc23)cc1OC,50.83,mL.min-1.kg-1,species_only_rat
14672091,CHEMBL3265585,CHEMBL3265017,CL,mL.min-1.kg-1,=,35.0,CHEMBL376,Rattus norvegicus,"Clearance in Sprague-Dawley rat at 10 mg/kg, po",A,COc1ccc(Nc2nc(-c3ccc4cn[nH]c4c3)cn3ccnc23)cc1OC,35.0,mL.min-1.kg-1,species_only_rat
14710497,CHEMBL3294639,CHEMBL3290657,CL,mL.min-1.kg-1,=,21.0,CHEMBL376,Rattus norvegicus,Clearance in rat,A,Nc1ncc(F)c2c1ncn2[C@@H]1CC[C@@H](O)[C@H]1O,21.0,mL.min-1.kg-1,species_only_rat
14710901,CHEMBL3291835,CHEMBL3288343,CL,mL.min-1.kg-1,=,1.667,CHEMBL376,Rattus norvegicus,"Clearance in rat at 0.5 mg/kg, iv",A,O=C(O)c1ccccc1NC(=O)N1CCN(c2ncccc2C(F)(F)F)CC1,1.667,mL.min-1.kg-1,species_only_rat
14712263,CHEMBL3293987,CHEMBL3290940,CL,mL.min-1.kg-1,=,5.9,CHEMBL376,Rattus norvegicus,"Clearance in Sprague-Dawley (CD) rat at 1 mg/kg, iv relative to hepatic blood flow",A,O=c1nc(Nc2ccc(-c3ccccc3)cc2)c2cccnc2n1O,5.9,mL.min-1.kg-1,species_only_rat
