activity_id,assay_chembl_id,molecule_chembl_id,type,standard_units,relation,standard_value,target_chembl_id,target_organism,assay_description,assay_type,smiles,clint,units,assay_class
23214832,CHEMBL4823145,CHEMBL4867615,CL,mL.min-1.kg-1,=,0.0318,CHEMBL612558,,Intrinsic clearance in cynomolgus monkey hepatocytes,A,O=C(OCC12CCN(CC1)CC2)N1CCc2ccccc2[C@H]1c1ccc(F)cc1,0.0318,mL.min-1.kg-1,hepatocyte_monkey
23233041,CHEMBL4827395,CHEMBL4650316,CL,mL.min-1.kg-1,=,31.0,CHEMBL612558,,Intrinsic clearance in cynomolgus monkey hepatocytes measured up to 60 mins by LC/MS/MS analysis,A,C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2c(F)cc(NC3CN(CCCF)C3)cc2F)N1CC(F)(F)CO,31.0,mL.min-1.kg-1,hepatocyte_monkey
23307816,CHEMBL4843338,CHEMBL4861332,CL,mL.min-1.kg-1,=,24.0,CHEMBL612558,,Intrinsic clearance in Cynomolgus monkey hepatocytes,A,CC[C@@H](NC(=O)c1ccc(Cl)cc1)[C@H]1[C@@H]2C[C@@H](n3cnc4cc(F)c(F)cc43)C[C@@H]21,24.0,mL.min-1.kg-1,hepatocyte_monkey
23315920,CHEMBL4845208,CHEMBL4297600,CL,mL.min-1.kg-1,=,23.0,CHEMBL612558,,Intrinsic clearance in monkey hepatocytes,A,NC(=O)c1ccn(-c2cnc(NC[C@]3(c4ncccc4F)C[C@H](F)C3)nc2)c1,23.0,mL.min-1.kg-1,hepatocyte_monkey
24343771,CHEMBL5030021,CHEMBL3647052,CL,mL.min-1.kg-1,=,70.0,CHEMBL612558,,Intrinsic Clearance in rhesus monkey hepatocytes,A,C[C@H]1CC[C@H](Cn2c(N3CCO[C@@H]4CCC[C@H]43)nc3cc(-c4noc(=O)[nH]4)nc(-c4cncc(Cl)c4)c32)CC1,70.0,mL.min-1.kg-1,hepatocyte_monkey
24510285,CHEMBL5055709,CHEMBL3657855,CL,mL.min-1.kg-1,=,18.0,CHEMBL612558,,Metabolic stability in cynomolgus monkey hepatocytes assessed as clearance at 1 uM measured upto 3 hrs by LC-MS/MS analysis,A,O=C(NS(=O)(=O)N1CCC1)c1cc(C2CC2)c(OCC23CC4CC(CC(C4)C2)C3)cc1F,18.0,mL.min-1.kg-1,hepatocyte_monkey
24510286,CHEMBL5055709,CHEMBL5094715,CL,mL.min-1.kg-1,=,13.0,CHEMBL612558,,Metabolic stability in cynomolgus monkey hepatocytes assessed as clearance at 1 uM measured upto 3 hrs by LC-MS/MS analysis,A,C[C@@H](c1cc(Cl)cc(Cl)c1)N1CCC(COc2cc(F)c(C(=O)NS(C)(=O)=O)cc2C2CC2)CC1,13.0,mL.min-1.kg-1,hepatocyte_monkey
24794255,CHEMBL5133288,CHEMBL5198665,CL,mL.min-1.kg-1,=,6.0,CHEMBL612558,,Clearance in cynomolgus monkey hepatocytes,A,Cc1cc(C#N)cnc1C(=O)Nc1ccc(F)c([C@]2(C)CS(=O)(=O)[C@@](C)(C(F)F)C(=N)N2)n1,6.0,mL.min-1.kg-1,hepatocyte_monkey
24810750,CHEMBL5136734,CHEMBL5095095,CL,mL.min-1.kg-1,=,18.33,CHEMBL612558,,Metabolic stability in monkey hepatocytes assessed as clearance at 10 uM measured upto 120 mins by LC-MS/MS analysis,A,C[C@H](CC[C@](C)(O)C(F)(F)F)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@](C)(O)CC[C@]4(C)[C@H]3CC[C@]12C,18.33,mL.min-1.kg-1,hepatocyte_monkey
25020837,CHEMBL5239448,CHEMBL5284890,CL,mL.min-1.kg-1,=,27.0,CHEMBL612558,,Clearance in cynomolgus monkey hepatocytes,A,Nc1ncc(-c2cc(N3CCC(F)(F)C3)nc(N3C[C@@H]4C[C@H]3CO4)n2)nc1OC(F)F,27.0,mL.min-1.kg-1,hepatocyte_monkey
25513977,CHEMBL5335467,CHEMBL5408274,CL,mL.min-1.kg-1,=,23.0,CHEMBL612558,,Metabolic stability in monkey hepatocytes assessed as intrinsic clearance at 2 uM measured for 120 mins by LC-MS analysis,A,Nc1ncc(-c2cn(C34CC(F)(C3)C4)c([C@@H](O)C(F)(F)F)n2)cc1OC(F)(F)F,23.0,mL.min-1.kg-1,hepatocyte_monkey
25648625,CHEMBL5370171,CHEMBL5412197,CL,mL.min-1.kg-1,=,16.0,CHEMBL612558,,Apparent intrinsic clearance in Cynomolgous monkey hepatocytes by substrate depletion method,A,Cl.N[C@@H]1c2ccccc2OC12CCN(c1cnc3c(N4CCCc5ncccc54)n[nH]c3n1)CC2,16.0,mL.min-1.kg-1,hepatocyte_monkey
25661453,CHEMBL5373731,CHEMBL5418961,CL,mL.min-1.kg-1,=,45.0,CHEMBL612558,,Metabolic stability in monkey hepatocytes assessed as intrinsic clearance for unbound fraction of drug,A,COCc1cc(-c2cn(C3COC3)c3cnc(NC(C)=O)cc23)nc([C@]2(OC)CCOC2)c1,45.0,mL.min-1.kg-1,hepatocyte_monkey
25661454,CHEMBL5373731,CHEMBL5403113,CL,mL.min-1.kg-1,=,106.67,CHEMBL612558,,Metabolic stability in monkey hepatocytes assessed as intrinsic clearance for unbound fraction of drug,A,CO[C@@]1(c2cc(O[C@@H](C)CCO)cc(-c3cn(C)c4cnc(NC(C)=O)cc34)n2)CCOC1,106.67,mL.min-1.kg-1,hepatocyte_monkey
25728294,CHEMBL5392511,CHEMBL5394686,CL,mL.min-1.kg-1,=,29.0,CHEMBL612558,,Metabolic stability in Cynomolgus monkey hepatocytes assessed as intrinsic clearance at 1 uM and measured upto 120 mins by LC-MS/MS analysis,A,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OCCON1CCN(C)CC1,29.0,mL.min-1.kg-1,hepatocyte_monkey
25962700,CHEMBL5540013,CHEMBL5563061,CL,mL.min-1.kg-1,=,25.6,CHEMBL612558,,Metabolic stability in monkey hepatocytes assessed as clearance,A,N#Cc1ccc(CNC(=O)c2ncc3nc(N4CC[C@@H](O)C4)ccc3c2O)cn1,25.6,mL.min-1.kg-1,hepatocyte_monkey
26230028,CHEMBL5658154,CHEMBL4448899,CL,mL.min-1.kg-1,=,23.33,CHEMBL612558,,Clearance in monkey hepatocytes,A,Cc1c(NC(=O)c2cc(C(N)=O)nc3cc(F)ccc23)c(C(F)(F)F)nn1Cc1ccc(C#N)cc1,23.33,mL.min-1.kg-1,hepatocyte_monkey
26230029,CHEMBL5658154,CHEMBL5661934,CL,mL.min-1.kg-1,=,5.333,CHEMBL612558,,Clearance in monkey hepatocytes,A,Cc1c(NC(=O)c2cc(C(N)=O)nc3cc(F)ccc23)c(C(F)(F)F)nn1Cc1ccc(C#N)cn1,5.333,mL.min-1.kg-1,hepatocyte_monkey
