activity_id,assay_chembl_id,molecule_chembl_id,type,standard_units,relation,standard_value,target_chembl_id,target_organism,assay_description,assay_type,smiles,clint,units,assay_class
22889387,CHEMBL4728955,CHEMBL4748740,CL,mL.min-1.kg-1,=,208.0,CHEMBL612558,,Clearance in cynomolgus monkey liver microsomes at 1 uM and measured up to 45 mins in presence of NADPH by LC-MS/MS analysis,A,COc1cc(OCc2ccnc(Nc3cnn(C)c3)n2)cc2sc(N[C@H]3CCCC[C@@H]3O)nc12,208.0,mL.min-1.kg-1,microsome_monkey
22915891,CHEMBL4735487,CHEMBL4761383,CL,mL.min-1.g-1,=,30.7,CHEMBL612558,,Intrinsic clearance in monkey liver microsomes measured after 1 hr,A,NC(=O)c1cccc2cc(C(=O)N3CCN(c4nc(-c5cnc(NC(=O)CN6CCOCC6)cc5C(F)(F)F)nc(N5CCOCC5)n4)CC3)oc12,0.030699999999999998,mL.min-1.kg-1,microsome_monkey
22920097,CHEMBL4736408,CHEMBL3353410,CL,mL.min-1.g-1,=,41700.0,CHEMBL612558,,Intrinsic clearance in cynomolgus monkey liver microsomes preincubated for 10 mins under shaking condition followed by NADPH generating system addition and measured up to 60 mins by LC-MS/MS analysis,A,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,41.7,mL.min-1.kg-1,microsome_monkey
22920098,CHEMBL4736408,CHEMBL4784911,CL,mL.min-1.g-1,=,54200.0,CHEMBL612558,,Intrinsic clearance in cynomolgus monkey liver microsomes preincubated for 10 mins under shaking condition followed by NADPH generating system addition and measured up to 60 mins by LC-MS/MS analysis,A,CS(=O)(=O)O.[2H]C([2H])=CC(=O)Nc1cc(Nc2nccc(-c3cn(C([2H])([2H])[2H])c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,54.2,mL.min-1.kg-1,microsome_monkey
22970763,CHEMBL4770604,CHEMBL4794955,CL,mL.min-1.g-1,=,62.5,CHEMBL612558,,Metabolic stability in monkey liver microsomes assessed as intrinsic clearance at 1 uM incubated up to 60 mins in presence of NADPH by LC-MS/MS analysis,A,COc1cc(F)ccc1-c1ccnc(Nc2ccc3c(N4CCOCC4)c(C(C)=O)c(=O)oc3c2)n1,0.0625,mL.min-1.kg-1,microsome_monkey
22970764,CHEMBL4770604,CHEMBL4788347,CL,mL.min-1.g-1,=,57.3,CHEMBL612558,,Metabolic stability in monkey liver microsomes assessed as intrinsic clearance at 1 uM incubated up to 60 mins in presence of NADPH by LC-MS/MS analysis,A,COc1cc(F)ccc1-c1nc(Nc2ccc3c(N4CCOCC4)c(C(C)=O)c(=O)oc3c2)ncc1F,0.0573,mL.min-1.kg-1,microsome_monkey
22970765,CHEMBL4770604,CHEMBL655,CL,mL.min-1.g-1,=,551.0,CHEMBL612558,,Metabolic stability in monkey liver microsomes assessed as intrinsic clearance at 1 uM incubated up to 60 mins in presence of NADPH by LC-MS/MS analysis,A,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,0.551,mL.min-1.kg-1,microsome_monkey
22985465,CHEMBL4773971,CHEMBL4800688,CL,mL.min-1.kg-1,=,196.5,CHEMBL612558,,Metabolic stability in monkey liver microsomes assessed as clearance,A,COC(=O)c1sccc1Nc1nc(Nc2cc3c(cc2OC)CCN3C(=O)CN(C)C)ncc1C(F)(F)F,196.5,mL.min-1.kg-1,microsome_monkey
22994919,CHEMBL4775886,CHEMBL4785210,CL,mL.min-1.kg-1,=,18.33,CHEMBL612558,,Unbound intrinsic clearance in monkey liver microsomes,A,C[C@H](O)CNC(=O)c1ncc(S(=O)(=O)c2ccc(OC(F)(F)F)cc2)cc1N,18.33,mL.min-1.kg-1,microsome_monkey
23233038,CHEMBL4827392,CHEMBL4650316,CL,mL.min-1.kg-1,=,22.0,CHEMBL612558,,Intrinsic clearance in cynomolgus monkey liver microsomes at 1 uM preincubated for 5 mins followed by NADPH addition and measured up to 60 mins by LC-MS/MS analysis,A,C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2c(F)cc(NC3CN(CCCF)C3)cc2F)N1CC(F)(F)CO,22.0,mL.min-1.kg-1,microsome_monkey
