activity_id,assay_chembl_id,molecule_chembl_id,type,standard_units,relation,standard_value,target_chembl_id,target_organism,assay_description,assay_type,smiles,clint,units,assay_class
2505157,CHEMBL947754,CHEMBL481322,CL,mL.min-1.g-1,=,35.0,CHEMBL612558,,Metabolic stability in dog liver microsomes assessed as intrinsic clearance,A,COCc1c(Cl)ccc2c1CC[C@H]2c1ncc[nH]1,0.035,mL.min-1.kg-1,microsome_dog
2505166,CHEMBL947754,CHEMBL474796,CL,mL.min-1.g-1,=,82.0,CHEMBL612558,,Metabolic stability in dog liver microsomes assessed as intrinsic clearance,A,Fc1ccn(Cc2c(F)ccc3c2CC[C@H]3c2ncc[nH]2)n1,0.082,mL.min-1.kg-1,microsome_dog
2509429,CHEMBL1007095,CHEMBL445481,CL,mL.min-1.kg-1,=,5.4,CHEMBL612558,,Metabolic stability in dog liver microsomes assessed as intrinsic clearance after 120 mins in presence of NADPH,A,CS(=O)(=O)NC(=O)c1ccc(-c2ccc(CCNC[C@H](O)c3cccnc3)cc2)cc1OC1CCCCC1.Cl.Cl,5.4,mL.min-1.kg-1,microsome_dog
2509441,CHEMBL1007095,CHEMBL471060,CL,mL.min-1.kg-1,=,3.3,CHEMBL612558,,Metabolic stability in dog liver microsomes assessed as intrinsic clearance after 120 mins in presence of NADPH,A,CC(C)Nc1cc(-c2ccc(CCNC[C@H](O)c3ccccc3)cc2)ccc1C(=O)NS(C)(=O)=O.Cl.Cl,3.3,mL.min-1.kg-1,microsome_dog
2527985,CHEMBL994686,CHEMBL485024,CL,mL.min-1.g-1,=,2.99,CHEMBL612558,,Metabolic stability in dog liver microsomes assessed as clearance,A,CCCN1C(=O)c2ccccc2[C@@H](C(=O)O)[C@@H]1c1ccc(Oc2cc(Cl)cc(Cl)c2)cc1,0.00299,mL.min-1.kg-1,microsome_dog
2608853,CHEMBL1010631,CHEMBL471404,CL,mL.min-1.g-1,=,3.5,CHEMBL612558,,Metabolic stability in dog liver microsomes assessed as intrinsic clearance,A,CC(C)CC[C@@]1(C)C(=O)C(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)=C([O-])c2ccccc21.[Na+],0.0035,mL.min-1.kg-1,microsome_dog
2608854,CHEMBL1010631,CHEMBL471405,CL,mL.min-1.g-1,=,2.4,CHEMBL612558,,Metabolic stability in dog liver microsomes assessed as intrinsic clearance,A,CC(C)(C)CC[C@@]1(C)C(=O)C(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)=C([O-])c2ccccc21.[Na+],0.0024,mL.min-1.kg-1,microsome_dog
2623760,CHEMBL1002511,CHEMBL468513,CL,mL.min-1.g-1,=,194.0,CHEMBL612558,,Metabolic stability in dog liver microsomes assessed as intrinsic clearance at 1 uM after 90 mins,A,CC(=O)CCCCC[C@H](NC(=O)C1CCN(C)CC1)c1ncc(-c2ccc3ccccc3c2)[nH]1,0.194,mL.min-1.kg-1,microsome_dog
2623761,CHEMBL1002511,CHEMBL467678,CL,mL.min-1.g-1,=,194.0,CHEMBL612558,,Metabolic stability in dog liver microsomes assessed as intrinsic clearance at 1 uM after 90 mins,A,CCC(=O)CCCCC[C@H](NC(=O)C1CCN(C)CC1)c1ncc(-c2ccc3ccccc3c2)[nH]1,0.194,mL.min-1.kg-1,microsome_dog
2623762,CHEMBL1002511,CHEMBL467679,CL,mL.min-1.g-1,=,9.0,CHEMBL612558,,Metabolic stability in dog liver microsomes assessed as intrinsic clearance at 1 uM after 90 mins,A,CCC(=O)CCCCC[C@H](NC(=O)C1CCN(C)CC1)c1ncc(-c2ccc3ccccc3n2)[nH]1,0.009,mL.min-1.kg-1,microsome_dog
