activity_id,assay_chembl_id,molecule_chembl_id,type,standard_units,relation,standard_value,target_chembl_id,target_organism,assay_description,assay_type,smiles,clint,units,assay_class
19408758,CHEMBL4427157,CHEMBL4458334,CL,mL.min-1.kg-1,=,35.0,CHEMBL612558,,Clearance in mouse hepatocytes,A,CC(C)c1c(-c2cnn(C(C)C)c2)[nH]c2c(C#N)cnn2c1=O,35.0,mL.min-1.kg-1,hepatocyte_mouse
19408759,CHEMBL4427157,CHEMBL4539736,CL,mL.min-1.kg-1,=,1.3,CHEMBL612558,,Clearance in mouse hepatocytes,A,CC(C)c1c(-c2cnn(C)c2)[nH]c2c(C#N)cnn2c1=O,1.3,mL.min-1.kg-1,hepatocyte_mouse
19485014,CHEMBL4481395,CHEMBL3291398,CL,mL.min-1.g-1,=,4.0,CHEMBL612558,,Intrinsic clearance in mouse liver S9 fraction,A,C=C[C@]1(C)C[C@@H](OC(=O)CS[C@@H]2CC[C@@H](N)C[C@H]2O)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,0.004,mL.min-1.kg-1,hepatocyte_mouse
19485015,CHEMBL4481395,CHEMBL1658,CL,mL.min-1.g-1,=,41.0,CHEMBL612558,,Intrinsic clearance in mouse liver S9 fraction,A,C=C[C@]1(C)C[C@@H](OC(=O)CS[C@@H]2C[C@H]3CC[C@@H](C2)N3C)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,0.041,mL.min-1.kg-1,hepatocyte_mouse
19485016,CHEMBL4481395,CHEMBL1234521,CL,mL.min-1.g-1,=,131.0,CHEMBL612558,,Intrinsic clearance in mouse liver S9 fraction,A,C=C[C@]1(C)C[C@@H](OC(=O)CSCCN(CC)CC)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,0.131,mL.min-1.kg-1,hepatocyte_mouse
19485018,CHEMBL4481395,CHEMBL4532724,CL,mL.min-1.g-1,=,145.0,CHEMBL612558,,Intrinsic clearance in mouse liver S9 fraction,A,C=C[C@]1(C)C[C@@H](OC(=O)COc2ccc3c(c2)B(O)OC3)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,0.145,mL.min-1.kg-1,hepatocyte_mouse
19485019,CHEMBL4481395,CHEMBL4576039,CL,mL.min-1.g-1,=,168.0,CHEMBL612558,,Intrinsic clearance in mouse liver S9 fraction,A,C=C[C@]1(C)C[C@@H](OC(=O)COc2ccc3c(c2)B(O)OC3C)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,0.168,mL.min-1.kg-1,hepatocyte_mouse
19485020,CHEMBL4481395,CHEMBL4565868,CL,mL.min-1.g-1,=,139.0,CHEMBL612558,,Intrinsic clearance in mouse liver S9 fraction,A,C=C[C@]1(C)C[C@@H](OC(=O)COc2cc(C)c3c(c2)B(O)OC3)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,0.139,mL.min-1.kg-1,hepatocyte_mouse
19485021,CHEMBL4481395,CHEMBL4551336,CL,mL.min-1.g-1,=,77.0,CHEMBL612558,,Intrinsic clearance in mouse liver S9 fraction,A,C=C[C@]1(C)C[C@@H](OC(=O)COc2cc3c(cc2C)COB3O)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,0.077,mL.min-1.kg-1,hepatocyte_mouse
19485022,CHEMBL4481395,CHEMBL4539733,CL,mL.min-1.g-1,=,136.0,CHEMBL612558,,Intrinsic clearance in mouse liver S9 fraction,A,C=C[C@]1(C)C[C@@H](OC(=O)COc2ccc3c(c2C)B(O)OC3)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,0.136,mL.min-1.kg-1,hepatocyte_mouse
