number,CID,smiles,log_bb
330,33039,FC1CC(OC1CO)N1C=C(C)C(=O)NC1=O,-0.58999997
331,37614,O1c2c(OC1)cc1N(OC)C=C(C(O)=O)C(=O)c1c2,-0.92000002
332,42113,FC(OC(F)F)C(F)(F)F,0.11
333,47811,S(CC1CC2C(N(C1)CCC)Cc1c3c2cccc3[nH]c1)C,0.30000001
334,50287,s1cc(nc1N=C(N)N)CSCCNC(NC)=NC#N,-0.81999999
335,51670,S(Cc1oc(cc1)C(N)(C)C)CCNC=1NC(=O)C(=CN=1)Cc1ccc(nc1)C,-1.0599999
336,53024,S1C(SC1=C(C(=O)N)C(O)=O)C(=O)NC1(OC)C2SCC(CSc3nnnn3C)=C(N2C1=O)C(O)=O,-1.89
337,55482,Brc1cc(C)c(nc1)CCCCNC=1NC(=O)C(=CN=1)Cc1ccc(nc1)C,-1.88
338,57347,Fc1ccc(cc1)C(=O)NCCN1CCN(CC1)c1c2OCC(Oc2ccc1)CO,-0.44999999
339,60944,OC1Cc2c(cccc2)C1NC(=O)C(Cc1ccccc1)CC(O)CN1CCN(CC1C(=O)NC(C)(C)C)Cc1cccnc1,-0.74000001
340,60949,O=C1CC(CC1)c1[nH]c2N(CCC)C(=O)N(CCC)C(=O)c2n1,-1.4
341,61247,O(C(CC)(C)C)C,0.17
342,62875,Clc1cc2N(c3c(Sc2cc1)cccc3)CCCNC,1.38
343,64143,S(CC(NC(=O)c1cccc(O)c1C)C(O)CN1CC2C(CC1C(=O)NC(C)(C)C)CCCC2)c1ccccc1,-0.93000001
344,64814,OC(CC(=O)N)(CC)c1ccccc1,0.039999999
345,65016,S(=O)(=O)(N(CC(C)C)CC(O)C(NC(OC1CCOC1)=O)Cc1ccccc1)c1ccc(N)cc1,-0.56
346,66724,OC(=O)c1ccc(cc1)-c1ccccc1,-1.26
347,67101,FC1CC2C3C(CCC2(C)C1O)c1c(cc(O)cc1)CC3,-0.30000001
348,68617,Clc1cc(ccc1Cl)C1CCC(NC)c2c1cccc2,1.6
349,69460,N1CCCc2c1cccc2,0.67000002
350,72108,O(C)c1cccnc1CCCCNC=1NC(=O)C(=CN=1)Cc1ccc(nc1)C,-2
351,74981,Clc1cc2N(c3c(Sc2cc1)cccc3)CCCN,0.97000003
352,77501,O(CCCCOC=C)C=C,0.12
353,77991,O(C(=O)N(CC)C)c1cc(ccc1)C(N(C)C)C,0.88
354,80554,n1ccccc1CCN(C)C,-0.27000001
355,83909,ClCCN(CCCl)c1ccc(cc1)CCCC(OC(C)(C)C)=O,1
356,87653,s1ccnc1CCN,-0.41999999
357,89657,Clc1cc2N(C(=O)CC(=O)Nc2cc1)c1ccccc1,0.34999999
358,90274,Clc1cc(Cl)ccc1N=C1NCCN1,0.16
359,91517,C1C(C)C(CCC1C)C,1.02
360,91769,s1c2c(nc1NCCCOc1cc(ccc1)CN1CCCCC1)cccc2,0.14
361,92242,FCC(O)Cn1ccnc1[N+](=O)[O-],-0.0099999998
362,92375,[O-][n+]1ccc(cc1)C=[N+]([O-])C(C)(C)C,-0.38
363,94957,Fc1ccc(N2N(C)C(=CC2=O)C)cc1,-0.050000001
364,95705,O=C1NC(=O)NC(=O)C1(CC)C,-0.22
365,104972,O(C)c1cc(ccc1OC)C(C(C)C)(CCCNCCc1cc(OC)c(OC)cc1)C#N,-0.63999999
366,107917,Clc1cc2c(-n3c(CN=C2c2ccccc2F)cnc3CO)cc1,-0.079999998
367,107926,Brc1c2c(-n3c(C4N(CCC4)C2=O)c(nc3)C(OC(C)(C)C)=O)ccc1,-0.090000004
368,114376,S1c2c(N(c3c1cccc3)CCC1CCCNC1)cc(SC)cc2,0.75999999
369,115237,Fc1cc2onc(c2cc1)C1CCN(CC1)CCC=1C(=O)N2C(=NC=1C)C(O)CCC2,-0.67000002
370,119146,Fc1ccc(cc1)C(=O)CCCN1CCC2(N(CN(C)C2=O)c2ccccc2)CC1,0.46000001
371,119329,O=C1NC2(CCCC2)C(=O)NC1C,-0.25999999
372,121249,Oc1cc2CCc3c(N(c2cc1)CCCNC)cccc3,0.52999997
373,124449,Clc1cc2c(-n3c(cnc3C)C(O)N=C2c2ccccc2F)cc1,-0.22
374,126761,Fc1cc2c(-n3c(CN(CCF)C2=O)c(nc3)C(OCC)=O)cc1,-0.14
375,127382,s1c2c(-n3c(CN(C)C2=O)c(nc3)C(OC(C)(C)C)=O)cc1,-0.25
376,129710,Clc1c2c(-n3c(CN(C)C2=O)c(nc3)-c2nc(on2)C(C)C)ccc1,-0.30000001
377,133741,Oc1c2NC(=O)Cc2c(cc1)CCN(CCC)CCC,-0.43000001
378,156386,Brc1ccc(N2CNC(=O)C23CCN(CC3)CCCC(=O)c2ccc(F)cc2)cc1,0.07
379,159642,NCCCN1c2c(CCc3c1cccc3)cccc2,1.05
380,162244,Clc1cc2c(-n3c(nnc3CO)CN=C2c2ccccc2)cc1,-1.28
381,166560,O1c2c(C3CN(CCC3(O)c3c1cccc3)C)cccc2C,0.81999999
382,174174,O(C(=O)C(CO)c1ccccc1)C1CC2N(C(C1)CC2)C,-0.059999999
383,182017,Clc1cc2c(-n3c(nnc3C)C(O)N=C2c2ccccc2)cc1,-1.48
384,192706,O(C(=O)Nc1ccccc1)c1cc2c(N(C3N(CCC23C)C)C)cc1,1
385,198752,O=C(CCC1CCN(CC1)Cc1ccccc1)c1cc2NCCCCc2cc1,1.14
386,204104,Fc1ccc(Nc2nc(C)c(C)c(n2)N2CCc3c(cccc3)C2C)cc1,0.68000001
387,343473,O=C1NC(=O)NC(=O)C1(CCCCCCC)CC,0.02
388,346516,O=C1NC(=O)NC(=O)C1(CCC)CC,0.090000004
389,441243,OC(C(NC(=O)C(NC(=O)c1nc2c(cc1)cccc2)CC(=O)N)Cc1ccccc1)CN1CC2C(CC1C(=O)NC(C)(C)C)CCCC2,-0.94999999
390,444008,OC1(CCC2C3C(C4=C(CC3C)CC(=O)CC4)CCC12C)C#C,0.40000001
391,444031,O1CCc2cc(ccc12)CCN1CC(CC1)C(C(=O)N)(c1ccccc1)c1ccccc1,-0.62
392,475100,Fc1cc2onc(c2cc1)C1CCN(CC1)CCC=1C(=O)N2CC(O)CCC2=NC=1C,-0.67000002
393,547559,S1(=O)c2c(N(c3c1cccc3)CCCN(C)C)cccc2,-0.47999999
394,638186,ClC=CCl,0.039999999
395,2733526,O(CCN(C)C)c1ccc(cc1)C(=C(CC)c1ccccc1)c1ccccc1,0.92000002
396,2776666,s1cc(nc1NC(N)=N)C,-0.039999999
397,3000715,S=C1NC(=O)C(C(CCC)C)(CC)C(=O)N1,-0.19
398,3035905,S=C(NC1CCCCC1)N1CCC(CC1)c1nc[nH]c1,-0.17
399,3763607,s1cc(nc1NC(N)=N)-c1ccccc1,-0.18000001
400,3946663,O=C(NC(CC)c1ccccc1)c1c2c(nc(-c3ccccc3)c1C)cccc2,0.30000001
401,5281708,O1C=C(C(=O)c2c1cc(O)cc2)c1ccc(O)cc1,-0.15000001
402,5284371,O1C2C34C(C(N(CC3)C)Cc3c4c1c(OC)cc3)C=CC2O,0.44999999
403,5288826,O1C2C34C(C(N(CC3)C)Cc3c4c1c(O)cc3)C=CC2O,-0.25999999
404,5324346,FC(F)(F)c1ccc(cc1)C(=NOCCN)CCCCOC,0.79000002
405,5359272,Oc1cc2C34C(C(N(CC3)C)Cc2cc1)CCCC4,0
406,7138787,s1cc(nc1CCN)-c1ccccc1,-0.87
407,9796408,Clc1nc(N2CCNCC2)ccc1C(F)(F)F,1.64
408,9861160,o1nc(c2c1cccc2)-c1ccccc1C(N)CC=C,0
409,9864749,IC=CCN1CCC(CC1)COc1ccc(cc1)C#N,1.13
410,9903970,Clc1cc2C3C(c4c(Oc2cc1)cccc4)CN(C3)C,1.03
411,9907401,FC(F)(F)c1cc(ncc1)N1CCN(CC1)CCCCN1CCCC1=O,0.16
412,9971484,O(CCCNC(=O)C)c1cc(ccc1)CN1CCCCC1,-0.46000001
413,10011896,S(CCF)C(N)=N,-0.27000001
414,10019237,O(CCCNc1ncccc1)c1cc(ccc1)CN1CCCCC1,0.69
415,10091748,Clc1c2c(-n3c(CN(C)C2=O)c(nc3)-c2nc(on2)C(O)(CO)C)ccc1,-1.8200001
416,10313352,[O-][N+](=Cc1ccccc1)C(C)(C)C,0.050000001
417,10352163,FCCCn1ccnc1[N+](=O)[O-],-0.23999999
418,10377120,FCCCCCCCCn1ccnc1[N+](=O)[O-],-0.17
419,10384745,Clc1c2c(-n3c(CN(C)C2=O)c(nc3)-c2nc(on2)C(O)(C)C)ccc1,-1.34
420,10444765,O(CCCO)c1cc(ccc1)CN1CCCCC1,-0.02
421,10451635,Ic1cc(ccc1N)-c1sc2cc(O)ccc2n1,0.18000001
422,11115931,C(CCC)(CC)C,0.89999998
423,12780299,Ic1ccc(cc1CN1CCCCC1)CN1CCCCC1,0.98000002
424,12889418,[nH]1nc(nc1N)-c1cc(ncc1)N(C)C,-1.17
425,13720676,Ic1ccc(N2CCN(CC2)CCCCCC)cc1,1.01
426,13755681,O=C1NC(=O)NC(=O)C1(CCCCCCCC)CC,0.23999999
427,14022480,Brc1cccnc1CSCCNc1[nH]ccc1[N+](=O)[O-],-0.67000002
428,14022481,S(Cc1ncccc1)CCNc1[nH]ccc1[N+](=O)[O-],-0.66000003
429,14022483,S(Cc1ncccc1)CCNc1[nH]cc(Cc2ccccc2)c1[N+](=O)[O-],-0.12
430,14022484,S(Cc1oc(cc1)CN(C)C)CCNc1[nH]cc(Cc2ccccc2)c1[N+](=O)[O-],-0.73000002
431,14022497,s1ccnc1NCCCOc1cc(ccc1)CN1CCCCC1,0.44
432,14022499,o1c2c(nc1NCCCOc1cc(ccc1)CN1CCCCC1)cccc2,0.22
433,14022509,s1cc(nc1N=C(N)N)-c1cc(N)ccc1,-1.15
434,14022517,Brc1cccnc1CSCCNC(NC#N)=NCC,-2.1500001
435,14022519,s1cc(nc1N=C(N)N)-c1cc(NC(NC)=NC#N)ccc1,-1.54
436,18356503,BrC(Cl)CC(F)(F)F,0.34999999
437,22154175,O1c2c(C3CNCCC3(O)c3c1cccc3)cccc2C,0.51999998
438,23235109,BrC(F)CC(F)(F)F,0.27000001
439,45268400,BrC1NCC2CC1C=1N(C2)C(=O)C=CC=1,-0.050000001
