,activity_id,assay_chembl_id,molecule_chembl_id,type,standard_units,relation,standard_value,target_chembl_id,assay_description,assay_type,smiles
0,32354,CHEMBL638472,CHEMBL432162,LogD,,=,0.49,CHEMBL2362975,Partition coefficient (logD) (octanol/0.01 N K2HPO4),P,Cc1nc(C)c2c(n1)N(Cc1ccc(-c3ccccc3-c3nnn[nH]3)cc1)C(=O)CC2
2,33086,CHEMBL636433,CHEMBL281460,LogD,,=,1.95,CHEMBL2362975,Distribution coefficient between 1-Octanol and phosphate buffer at pH7.4,P,CCC1NC(=O)OC12CCN(CCc1c[nH]c3ccccc13)CC2
6,34423,CHEMBL877622,CHEMBL28059,LogD,,=,2.61,CHEMBL2362975,Distribution coefficient between 1-Octanol and phosphate buffer at pH7.4,P,O=C1NC(c2ccccc2)C2(CCN(CCc3c[nH]c4ccccc34)CC2)O1
10,35575,CHEMBL636433,CHEMBL25591,LogD,,=,1.45,CHEMBL2362975,Distribution coefficient between 1-Octanol and phosphate buffer at pH7.4,P,O=C1NCC2(CCN(CCc3c[nH]c4ccccc34)CC2)O1
11,35649,CHEMBL877622,CHEMBL27929,LogD,,=,2.42,CHEMBL2362975,Distribution coefficient between 1-Octanol and phosphate buffer at pH7.4,P,CCCC1CN(CCc2c[nH]c3ccccc23)CCC12CNC(=O)O2
13,36832,CHEMBL877622,CHEMBL28146,LogD,,=,2.95,CHEMBL2362975,Distribution coefficient between 1-Octanol and phosphate buffer at pH7.4,P,O=C1OC2(CCN(CCc3c[nH]c4ccccc34)CC2)CN1CCc1ccccc1
20,38007,CHEMBL636433,CHEMBL24522,LogD,,=,1.73,CHEMBL2362975,Distribution coefficient between 1-Octanol and phosphate buffer at pH7.4,P,CN1CC2(CCN(CCc3c[nH]c4ccccc34)CC2)OC1=O
22,38021,CHEMBL877622,CHEMBL24974,LogD,,=,2.79,CHEMBL2362975,Distribution coefficient between 1-Octanol and phosphate buffer at pH7.4,P,O=C1OC2(CCN(CC(O)C3COc4ccccc4O3)CC2)CN1CCc1ccccc1
23,38058,CHEMBL877622,CHEMBL283477,LogD,,=,2.91,CHEMBL2362975,Distribution coefficient between 1-Octanol and phosphate buffer at pH7.4,P,O=C1OC2(CCN(CCc3c[nH]c4ccccc34)CC2)CN1Cc1ccccc1
24,38449,CHEMBL636808,CHEMBL1695,LogD,,=,1.59,CHEMBL2362975,Lipophilicity measured as partition between  octanol and pH 7.4 buffer,P,Cc1ccsc1C(=CCCN1CCC[C@@H](C(=O)O)C1)c1sccc1C.Cl
28,39189,CHEMBL636007,CHEMBL25095,LogD,,=,1.21,CHEMBL2362975,Distribution coefficient between 1-Octanol and phosphate buffer at pH7.4,P,CC1NC(=O)OC12CCN(CC(O)C1COc3ccccc3O1)CC2
34,40370,CHEMBL877622,CHEMBL27383,LogD,,=,2.05,CHEMBL2362975,Distribution coefficient between 1-Octanol and phosphate buffer at pH7.4,P,CC(C)N1CC2(CCN(CC(O)C3COc4ccccc4O3)CC2)OC1=O
40,43930,CHEMBL877622,CHEMBL27989,LogD,,=,2.31,CHEMBL2362975,Distribution coefficient between 1-Octanol and phosphate buffer at pH7.4,P,CCCC1NC(=O)OC12CCN(CCc1c[nH]c3ccccc13)CC2
41,43939,CHEMBL636430,CHEMBL283545,LogD,,=,0.96,CHEMBL2362975,Distribution coefficient between 1-Octanol and phosphate buffer at pH7.4,P,COc1ccccc1OCC(O)CN1CCC2(CC1)CN(C)C(=O)O2
47,45192,CHEMBL877622,CHEMBL27212,LogD,,=,2.01,CHEMBL2362975,Distribution coefficient between 1-Octanol and phosphate buffer at pH7.4,P,CCC1CN(CCc2c[nH]c3ccccc23)CCC12CNC(=O)O2
48,45197,CHEMBL877622,CHEMBL27271,LogD,,=,2.41,CHEMBL2362975,Distribution coefficient between 1-Octanol and phosphate buffer at pH7.4,P,O=C1NC(Cc2ccccc2)C2(CCN(CC(O)C3COc4ccccc4O3)CC2)O1
53,46370,CHEMBL636007,CHEMBL27095,LogD,,=,0.98,CHEMBL2362975,Distribution coefficient between 1-Octanol and phosphate buffer at pH7.4,P,O=C1NCC2(CCN(CC(O)C3COc4ccccc4O3)CC2)O1
54,46415,CHEMBL877622,CHEMBL283224,LogD,,=,2.14,CHEMBL2362975,Distribution coefficient between 1-Octanol and phosphate buffer at pH7.4,P,CCC1N(C)C(=O)OC12CCN(CCc1c[nH]c3ccccc13)CC2
65,50697,CHEMBL630210,CHEMBL32085,LogD,,=,2.153,CHEMBL2362975,Partition coefficient is determined in octanol/buffer solution at pH 7.4,P,CC(C)(C)C(=O)Oc1ccc(C[C@@H]2NC(=O)COC2=O)cc1O
66,50797,CHEMBL638472,CHEMBL440731,LogD,,=,1.21,CHEMBL2362975,Partition coefficient (logD) (octanol/0.01 N K2HPO4),P,Cc1nc(C)c2c(n1)N(Cc1ccc(-c3ccccc3-c3nn[nH]n3)cc1)C(=O)C(C)(C)C2
67,50806,CHEMBL638472,CHEMBL153472,LogD,,=,1.41,CHEMBL2362975,Partition coefficient (logD) (octanol/0.01 N K2HPO4),P,Cc1nc(C(C)C)c2c(n1)N(Cc1ccc(-c3ccccc3-c3nn[nH]n3)cc1)C(=O)CC2
71,51549,CHEMBL877622,CHEMBL286987,LogD,,=,2.36,CHEMBL2362975,Distribution coefficient between 1-Octanol and phosphate buffer at pH7.4,P,CCCN1CC2(CCN(CCc3c[nH]c4ccccc34)CC2)OC1=O
77,52856,CHEMBL636433,CHEMBL283895,LogD,,=,2.68,CHEMBL2362975,Distribution coefficient between 1-Octanol and phosphate buffer at pH7.4,P,O=C1NC(Cc2ccccc2)C2(CCN(CCc3c[nH]c4ccccc34)CC2)O1
85,55252,CHEMBL877622,CHEMBL24469,LogD,,=,1.43,CHEMBL2362975,Distribution coefficient between 1-Octanol and phosphate buffer at pH7.4,P,CC1NC(=O)OC12CCN(CCc1c[nH]c3ccccc13)CC2
86,55279,CHEMBL636430,CHEMBL423839,LogD,,=,2.19,CHEMBL2362975,Distribution coefficient between 1-Octanol and phosphate buffer at pH7.4,P,COc1ccccc1OCC(O)CN1CCC2(CC1)CN(Cc1ccccc1)C(=O)O2
97,58923,CHEMBL636430,CHEMBL279516,LogD,,=,2.13,CHEMBL2362975,Distribution coefficient between 1-Octanol and phosphate buffer at pH7.4,P,O=C(NC1CCN(CCc2c[nH]c3ccccc23)CC1)c1ccccc1
124,64338,CHEMBL799453,CHEMBL597,LogD,,=,0.82,CHEMBL2362975,Distribution coefficient between 1-Octanol and phosphate buffer at pH7.4,P,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1
135,65675,CHEMBL877622,CHEMBL28274,LogD,,=,1.43,CHEMBL2362975,Distribution coefficient between 1-Octanol and phosphate buffer at pH7.4,P,CN1CC2(CCN(CC(O)C3COc4ccccc4O3)CC2)OC1=O
136,65722,CHEMBL877622,CHEMBL281949,LogD,,=,1.92,CHEMBL2362975,Distribution coefficient between 1-Octanol and phosphate buffer at pH7.4,P,CCN1CC2(CCN(CCc3c[nH]c4ccccc34)CC2)OC1=O
137,65727,CHEMBL636433,CHEMBL431883,LogD,,=,2.4,CHEMBL2362975,Distribution coefficient between 1-Octanol and phosphate buffer at pH7.4,P,CC(C)N1CC2(CCN(CCc3c[nH]c4ccccc34)CC2)OC1=O
146,66968,CHEMBL877622,CHEMBL25517,LogD,,=,2.41,CHEMBL2362975,Distribution coefficient between 1-Octanol and phosphate buffer at pH7.4,P,O=C1NC(c2ccccc2)C2(CCN(CC(O)C3COc4ccccc4O3)CC2)O1
147,66973,CHEMBL877622,CHEMBL24740,LogD,,=,0.69,CHEMBL2362975,Distribution coefficient between 1-Octanol and phosphate buffer at pH7.4,P,COc1ccccc1OCC(O)CN1CCC2(CC1)CNC(=O)O2
188,79218,CHEMBL875795,CHEMBL284565,LogD,,=,2.69,CHEMBL2362975,Evaluated for the apparent partition coefficient between 1-octanol and phosphate buffer at pH 7.4,P,COc1ccc2cc(C(C)C(=O)OCCCCOC(=O)CCCN3CCN(C)CC3)ccc2c1
189,79219,CHEMBL643459,CHEMBL284565,LogD,,=,1.41,CHEMBL2362975,Evaluated for the apparent partition coefficient between 1-octanol and phosphate buffer at pH 5.0.,P,COc1ccc2cc(C(C)C(=O)OCCCCOC(=O)CCCN3CCN(C)CC3)ccc2c1
201,82635,CHEMBL875795,CHEMBL36370,LogD,,=,2.14,CHEMBL2362975,Evaluated for the apparent partition coefficient between 1-octanol and phosphate buffer at pH 7.4,P,COc1ccc2cc(C(C)C(=O)OCCOC(=O)CN3CCOCC3)ccc2c1
202,82636,CHEMBL643459,CHEMBL36370,LogD,,=,2.62,CHEMBL2362975,Evaluated for the apparent partition coefficient between 1-octanol and phosphate buffer at pH 5.0.,P,COc1ccc2cc(C(C)C(=O)OCCOC(=O)CN3CCOCC3)ccc2c1
208,84602,CHEMBL875795,CHEMBL417690,LogD,,=,1.3,CHEMBL2362975,Evaluated for the apparent partition coefficient between 1-octanol and phosphate buffer at pH 7.4,P,COc1ccc2cc(C(C)C(=O)OCCCCOC(=O)CN3CCN(C)CC3)ccc2c1
209,84603,CHEMBL643459,CHEMBL417690,LogD,,=,0.94,CHEMBL2362975,Evaluated for the apparent partition coefficient between 1-octanol and phosphate buffer at pH 5.0.,P,COc1ccc2cc(C(C)C(=O)OCCCCOC(=O)CN3CCN(C)CC3)ccc2c1
216,87702,CHEMBL875795,CHEMBL37948,LogD,,=,1.16,CHEMBL2362975,Evaluated for the apparent partition coefficient between 1-octanol and phosphate buffer at pH 7.4,P,COc1ccc2cc(C(C)C(=O)OCCOC(=O)CN3CCN(C)CC3)ccc2c1
217,87703,CHEMBL643459,CHEMBL37948,LogD,,=,0.43,CHEMBL2362975,Evaluated for the apparent partition coefficient between 1-octanol and phosphate buffer at pH 5.0.,P,COc1ccc2cc(C(C)C(=O)OCCOC(=O)CN3CCN(C)CC3)ccc2c1
232,97633,CHEMBL875795,CHEMBL35214,LogD,,=,3.04,CHEMBL2362975,Evaluated for the apparent partition coefficient between 1-octanol and phosphate buffer at pH 7.4,P,COc1ccc2cc(C(C)C(=O)OCCCCOC(=O)CCN3CCN(C)CC3)ccc2c1
233,97634,CHEMBL643459,CHEMBL35214,LogD,,=,1.02,CHEMBL2362975,Evaluated for the apparent partition coefficient between 1-octanol and phosphate buffer at pH 5.0.,P,COc1ccc2cc(C(C)C(=O)OCCCCOC(=O)CCN3CCN(C)CC3)ccc2c1
249,105226,CHEMBL635345,CHEMBL550,LogD,,=,-0.15,CHEMBL2362975,Compound was evaluated for apparent partition coefficient (log P) between octanol and 0.05 M phosphate buffer solution of pH 7.40,P,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C
250,105526,CHEMBL636384,CHEMBL57267,LogD,,=,0.57,CHEMBL2362975,Octanol-water partition at pH 7.4,P,Cc1ccc2c(c1)sc(-c1ccc(N(C)C)cc1)[n+]2C
259,107320,CHEMBL638075,CHEMBL277474,LogD,,=,0.6,CHEMBL2362975,Distribution coefficient in octanol/water at pH 7.4,P,Cc1cc(=O)n(-c2ccccc2)n1C
260,107321,CHEMBL638074,CHEMBL277474,LogD,,=,0.6,CHEMBL2362975,Distribution coefficient in octanol/water at pH 6.5,P,Cc1cc(=O)n(-c2ccccc2)n1C
261,107322,CHEMBL638073,CHEMBL277474,LogD,,=,0.6,CHEMBL2362975,Distribution coefficient in octanol/water at pH 5.5,P,Cc1cc(=O)n(-c2ccccc2)n1C
266,108646,CHEMBL635345,CHEMBL177902,LogD,,=,3.52,CHEMBL2362975,Compound was evaluated for apparent partition coefficient (log P) between octanol and 0.05 M phosphate buffer solution of pH 7.40,P,CC[C@H](C(=O)OCc1ccc(C(C)(C)C)cc1)[C@H](CO)Cc1cncn1C
274,112440,CHEMBL635969,CHEMBL114716,LogD,,=,0.047,CHEMBL2362975,Partition coefficient (logD7.4) (octanol/15 mM HEPES/135 mM NaCl at pH 7.4),P,N/C(=N\c1ccc(CCCCO)cc1)Nc1ccc(CCCCO)cc1
279,114993,CHEMBL635969,CHEMBL81602,LogD,,=,0.7,CHEMBL2362975,Partition coefficient (logD7.4) (octanol/15 mM HEPES/135 mM NaCl at pH 7.4),P,Cc1ccc(NC(=N)Nc2ccc(C)cc2)cc1
280,114997,CHEMBL635969,CHEMBL109210,LogD,,=,4.1,CHEMBL2362975,Partition coefficient (logD7.4) (octanol/15 mM HEPES/135 mM NaCl at pH 7.4),P,CCCCc1ccc(NC(=N)Nc2ccc(CCCC)cc2)cc1
287,117587,CHEMBL638075,CHEMBL108,LogD,,=,2.45,CHEMBL2362975,Distribution coefficient in octanol/water at pH 7.4,P,NC(=O)N1c2ccccc2C=Cc2ccccc21
288,117588,CHEMBL638074,CHEMBL108,LogD,,=,2.45,CHEMBL2362975,Distribution coefficient in octanol/water at pH 6.5,P,NC(=O)N1c2ccccc2C=Cc2ccccc21
289,117589,CHEMBL638073,CHEMBL108,LogD,,=,2.45,CHEMBL2362975,Distribution coefficient in octanol/water at pH 5.5,P,NC(=O)N1c2ccccc2C=Cc2ccccc21
290,117847,CHEMBL635345,CHEMBL176733,LogD,,=,2.54,CHEMBL2362975,Compound was evaluated for apparent partition coefficient (log P) between octanol and 0.05 M phosphate buffer solution of pH 7.40,P,CC[C@H](C(=O)OCc1ccc(Cl)cc1)[C@H](CO)Cc1cncn1C
291,118160,CHEMBL636384,CHEMBL93334,LogD,,=,2.7,CHEMBL2362975,Octanol-water partition at pH 7.4,P,CNc1ccc(-c2nc3ccccc3s2)cc1
301,120379,CHEMBL635345,CHEMBL174170,LogD,,=,1.58,CHEMBL2362975,Compound was evaluated for apparent partition coefficient (log P) between octanol and 0.05 M phosphate buffer solution of pH 7.40,P,CCCCOC(=O)[C@@H](CC)[C@H](CO)Cc1cncn1C
303,121232,CHEMBL635969,CHEMBL744,LogD,,=,3.43,CHEMBL2362975,Partition coefficient (logD7.4) (octanol/15 mM HEPES/135 mM NaCl at pH 7.4),P,Nc1nc2ccc(OC(F)(F)F)cc2s1
304,121272,CHEMBL635969,CHEMBL81626,LogD,,=,2.72,CHEMBL2362975,Partition coefficient (logD7.4) (octanol/15 mM HEPES/135 mM NaCl at pH 7.4),P,CC(C)c1ccc(NC(=N)Nc2ccc(C(C)C)cc2)cc1
305,121276,CHEMBL635969,CHEMBL326130,LogD,,=,3.13,CHEMBL2362975,Partition coefficient (logD7.4) (octanol/15 mM HEPES/135 mM NaCl at pH 7.4),P,N=C(Nc1ccc(-c2ccccc2)cc1)Nc1ccc(-c2ccccc2)cc1
309,123755,CHEMBL635969,CHEMBL112806,LogD,,=,3.46,CHEMBL2362975,Partition coefficient (logD7.4) (octanol/15 mM HEPES/135 mM NaCl at pH 7.4),P,CC(C)(C)c1ccc(NC(=N)Nc2ccc(OCc3ccccc3)cc2)cc1
310,123759,CHEMBL635969,CHEMBL28853,LogD,,=,2.7,CHEMBL2362975,Partition coefficient (logD7.4) (octanol/15 mM HEPES/135 mM NaCl at pH 7.4),P,COc1ccc(/N=C(\N)Nc2ccc3c4c(cccc24)CC3)c2ccccc12
312,123770,CHEMBL638075,CHEMBL35,LogD,,=,-0.9,CHEMBL2362975,Distribution coefficient in octanol/water at pH 7.4,P,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
313,123771,CHEMBL638074,CHEMBL35,LogD,,=,-0.5,CHEMBL2362975,Distribution coefficient in octanol/water at pH 6.5,P,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
314,123772,CHEMBL638073,CHEMBL35,LogD,,=,0.4,CHEMBL2362975,Distribution coefficient in octanol/water at pH 5.5,P,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
316,125055,CHEMBL635969,CHEMBL325215,LogD,,=,1.72,CHEMBL2362975,Partition coefficient (logD7.4) (octanol/15 mM HEPES/135 mM NaCl at pH 7.4),P,CCCCOc1ccc(NC(=N)Nc2ccc(CCCCO)cc2)cc1
325,127744,CHEMBL635969,CHEMBL326774,LogD,,=,3.31,CHEMBL2362975,Partition coefficient (logD7.4) (octanol/15 mM HEPES/135 mM NaCl at pH 7.4),P,CCC(C)c1ccc(NC(=N)Nc2ccc3c4c(cccc24)CC3)cc1
332,128839,CHEMBL635969,CHEMBL78083,LogD,,=,1.7,CHEMBL2362975,Partition coefficient (logD7.4) (octanol/15 mM HEPES/135 mM NaCl at pH 7.4),P,CCc1ccc(NC(=N)Nc2ccc(CC)cc2)cc1
333,129161,CHEMBL635345,CHEMBL353551,LogD,,=,0.58,CHEMBL2362975,Compound was evaluated for apparent partition coefficient (log P) between octanol and 0.05 M phosphate buffer solution of pH 7.40,P,CCOC(=O)[C@@H](CC)[C@H](CO)Cc1cncn1C
334,129163,CHEMBL635345,CHEMBL175056,LogD,,=,1.82,CHEMBL2362975,Compound was evaluated for apparent partition coefficient (log P) between octanol and 0.05 M phosphate buffer solution of pH 7.40,P,CC[C@H](C(=O)OCc1ccccc1)[C@H](CO)Cc1cncn1C
335,129165,CHEMBL635345,CHEMBL173785,LogD,,=,2.27,CHEMBL2362975,Compound was evaluated for apparent partition coefficient (log P) between octanol and 0.05 M phosphate buffer solution of pH 7.40,P,CC[C@H](C(=O)OCc1ccccc1C)[C@H](CO)Cc1cncn1C
339,130182,CHEMBL638075,CHEMBL24,LogD,,=,-2.0,CHEMBL2362975,Distribution coefficient in octanol/water at pH 7.4,P,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
343,131455,CHEMBL638075,CHEMBL75435,LogD,,=,0.1,CHEMBL2362975,Distribution coefficient in octanol/water at pH 7.4,P,C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1
344,131456,CHEMBL638074,CHEMBL75435,LogD,,=,0.8,CHEMBL2362975,Distribution coefficient in octanol/water at pH 6.5,P,C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1
345,131457,CHEMBL638073,CHEMBL75435,LogD,,=,1.8,CHEMBL2362975,Distribution coefficient in octanol/water at pH 5.5,P,C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1
350,133977,CHEMBL635969,CHEMBL320340,LogD,,=,3.65,CHEMBL2362975,Partition coefficient (logD7.4) (octanol/15 mM HEPES/135 mM NaCl at pH 7.4),P,CC(C)(C)c1ccc(NC(=N)Nc2ccc(C(C)(C)C)cc2)cc1
352,134001,CHEMBL638075,CHEMBL1671,LogD,,=,1.4,CHEMBL2362975,Distribution coefficient in octanol/water at pH 7.4,P,CC(C)NCC(O)COc1cccc2ccccc12.Cl
353,134002,CHEMBL638074,CHEMBL1671,LogD,,=,0.9,CHEMBL2362975,Distribution coefficient in octanol/water at pH 6.5,P,CC(C)NCC(O)COc1cccc2ccccc12.Cl
354,134003,CHEMBL638073,CHEMBL1671,LogD,,=,0.7,CHEMBL2362975,Distribution coefficient in octanol/water at pH 5.5,P,CC(C)NCC(O)COc1cccc2ccccc12.Cl
355,134560,CHEMBL636384,CHEMBL330529,LogD,,=,3.4,CHEMBL2362975,Octanol-water partition at pH 7.4,P,CNc1ccc(-c2nc3ccc(C)cc3s2)cc1
361,135184,CHEMBL638075,CHEMBL1082,LogD,,=,-1.6,CHEMBL2362975,Distribution coefficient in octanol/water at pH 7.4,P,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O
362,135185,CHEMBL638074,CHEMBL1082,LogD,,=,-1.7,CHEMBL2362975,Distribution coefficient in octanol/water at pH 6.5,P,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O
363,135186,CHEMBL638073,CHEMBL1082,LogD,,=,-1.7,CHEMBL2362975,Distribution coefficient in octanol/water at pH 5.5,P,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O
364,135527,CHEMBL635345,CHEMBL176395,LogD,,=,2.08,CHEMBL2362975,Compound was evaluated for apparent partition coefficient (log P) between octanol and 0.05 M phosphate buffer solution of pH 7.40,P,CC[C@H](C(=O)OC(C)c1ccccc1)[C@H](CO)Cc1cncn1C
365,136421,CHEMBL635969,CHEMBL112515,LogD,,=,3.55,CHEMBL2362975,Partition coefficient (logD7.4) (octanol/15 mM HEPES/135 mM NaCl at pH 7.4),P,N=C(Nc1ccc(Oc2ccccc2)cc1)Nc1ccc(Oc2ccccc2)cc1
367,137466,CHEMBL635969,CHEMBL331126,LogD,,=,4.18,CHEMBL2362975,Partition coefficient (logD7.4) (octanol/15 mM HEPES/135 mM NaCl at pH 7.4),P,N=C(Nc1ccc(Sc2ccccc2)cc1)Nc1ccc(Sc2ccccc2)cc1
368,137858,CHEMBL635345,CHEMBL369195,LogD,,=,2.31,CHEMBL2362975,Compound was evaluated for apparent partition coefficient (log P) between octanol and 0.05 M phosphate buffer solution of pH 7.40,P,CC[C@H](C(=O)OCc1ccc(C)cc1)[C@H](CO)Cc1cncn1C
372,138949,CHEMBL635969,CHEMBL326502,LogD,,=,3.52,CHEMBL2362975,Partition coefficient (logD7.4) (octanol/15 mM HEPES/135 mM NaCl at pH 7.4),P,CCCCOc1ccc(NC(=N)Nc2ccc(OCCCC)cc2)cc1
379,141083,CHEMBL635969,CHEMBL326741,LogD,,=,6.07,CHEMBL2362975,Partition coefficient (logD7.4) (octanol/15 mM HEPES/135 mM NaCl at pH 7.4),P,CCCCCCc1ccc(NC(=N)Nc2ccc(CCCCCC)cc2)cc1
381,141097,CHEMBL638075,CHEMBL2218894,LogD,,=,1.4,CHEMBL2362975,Distribution coefficient in octanol/water at pH 7.4,P,CC(C)n1c(/C=C/C(O)CC(O)CC(=O)[O-])c(-c2ccc(F)cc2)c2ccccc21.[Na+]
382,141098,CHEMBL638074,CHEMBL2218894,LogD,,=,2.0,CHEMBL2362975,Distribution coefficient in octanol/water at pH 6.5,P,CC(C)n1c(/C=C/C(O)CC(O)CC(=O)[O-])c(-c2ccc(F)cc2)c2ccccc21.[Na+]
383,141099,CHEMBL638073,CHEMBL2218894,LogD,,=,3.0,CHEMBL2362975,Distribution coefficient in octanol/water at pH 5.5,P,CC(C)n1c(/C=C/C(O)CC(O)CC(=O)[O-])c(-c2ccc(F)cc2)c2ccccc21.[Na+]
385,142409,CHEMBL638075,CHEMBL435,LogD,,=,-0.2,CHEMBL2362975,Distribution coefficient in octanol/water at pH 7.4,P,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
386,142410,CHEMBL638074,CHEMBL435,LogD,,=,-0.2,CHEMBL2362975,Distribution coefficient in octanol/water at pH 6.5,P,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
387,142411,CHEMBL638073,CHEMBL435,LogD,,=,-0.2,CHEMBL2362975,Distribution coefficient in octanol/water at pH 5.5,P,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
388,142708,CHEMBL635345,CHEMBL176693,LogD,,=,2.16,CHEMBL2362975,Compound was evaluated for apparent partition coefficient (log P) between octanol and 0.05 M phosphate buffer solution of pH 7.40,P,CC[C@H](C(=O)OCCc1ccccc1)[C@H](CO)Cc1cncn1C
391,143683,CHEMBL635969,CHEMBL28854,LogD,,=,3.39,CHEMBL2362975,Partition coefficient (logD7.4) (octanol/15 mM HEPES/135 mM NaCl at pH 7.4),P,CN1CCN(c2ncc(-c3cc(Cl)cc(Cl)c3Cl)c(N)n2)CC1
392,143698,CHEMBL638075,CHEMBL1696,LogD,,=,1.5,CHEMBL2362975,Distribution coefficient in octanol/water at pH 7.4,P,CNCCCN1c2ccccc2CCc2ccccc21.Cl
393,143699,CHEMBL638074,CHEMBL1696,LogD,,=,1.1,CHEMBL2362975,Distribution coefficient in octanol/water at pH 6.5,P,CNCCCN1c2ccccc2CCc2ccccc21.Cl
394,143700,CHEMBL638073,CHEMBL1696,LogD,,=,1.1,CHEMBL2362975,Distribution coefficient in octanol/water at pH 5.5,P,CNCCCN1c2ccccc2CCc2ccccc21.Cl
395,143911,CHEMBL635345,CHEMBL368915,LogD,,=,2.56,CHEMBL2362975,Compound was evaluated for apparent partition coefficient (log P) between octanol and 0.05 M phosphate buffer solution of pH 7.40,P,CCCCCCOC(=O)[C@@H](CC)[C@H](CO)Cc1cncn1C
397,144663,CHEMBL635969,CHEMBL110909,LogD,,=,3.94,CHEMBL2362975,Partition coefficient (logD7.4) (octanol/15 mM HEPES/135 mM NaCl at pH 7.4),P,CCC(C)c1ccc(NC(=N)Nc2ccc(C(C)CC)cc2)cc1
399,145707,CHEMBL633736,CHEMBL8230,LogD,,=,0.58,CHEMBL2362975,"Partition coefficient in octanol/water system was determined at pH 7.4, as a measure of lipophilicity.",P,Nc1nc(O)c2nc(N)n(Cc3ccccc3)c2n1
400,145818,CHEMBL633376,CHEMBL13,LogD,,=,-0.42,CHEMBL2362975,Distribution coefficient measured in Octanol/buffer (0.15 M KCl),P,COCCc1ccc(OCC(O)CNC(C)C)cc1
402,146075,CHEMBL630209,CHEMBL126035,LogD,,=,0.15,CHEMBL2362975,Partition coefficient was measured using a shake flask method with octanol/buffer at physiological pH,P,O=C(NS(=O)(=O)c1ccccc1)c1nc2cc(Cl)c(Cl)cc2nc1O
422,155350,CHEMBL633376,CHEMBL500,LogD,,=,-0.55,CHEMBL2362975,Distribution coefficient measured in Octanol/buffer (0.15 M KCl),P,CC(C)NCC(O)COc1cccc2[nH]ccc12
423,156764,CHEMBL640138,CHEMBL134,LogD,,=,0.85,CHEMBL2362975,Apparent partion coefficient of compound was evaluated in octanol/buffer at pH of 7.4 at 37 degree Centigrade,P,Clc1cccc(Cl)c1NC1=NCCN1
426,158181,CHEMBL630209,CHEMBL167548,LogD,,=,-1.1,CHEMBL2362975,Partition coefficient was measured using a shake flask method with octanol/buffer at physiological pH,P,CS(=O)(=O)NC(=O)c1nc2cc(Cl)c(Cl)cc2nc1O
431,159060,CHEMBL633736,CHEMBL555096,LogD,,=,1.01,CHEMBL2362975,"Partition coefficient in octanol/water system was determined at pH 7.4, as a measure of lipophilicity.",P,Cl.Nc1nc(O)c2[nH]c(N)c(Cc3cccs3)c2n1
432,159386,CHEMBL630209,CHEMBL155265,LogD,,=,0.09,CHEMBL2362975,Partition coefficient was measured using a shake flask method with octanol/buffer at physiological pH,P,O=[N+]([O-])c1cc2nc(O)c(O)nc2cc1[N+](=O)[O-]
435,160304,CHEMBL633376,CHEMBL6995,LogD,,=,-1.31,CHEMBL2362975,Distribution coefficient measured in Octanol/buffer (0.15 M KCl),P,CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1
440,162912,CHEMBL633376,CHEMBL24,LogD,,=,-2.04,CHEMBL2362975,Distribution coefficient measured in Octanol/buffer (0.15 M KCl),P,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
443,164045,CHEMBL633376,CHEMBL153004,LogD,,=,-1.56,CHEMBL2362975,Distribution coefficient measured in Octanol/buffer (0.15 M KCl),P,CC(C)NCC(O)COc1ccc(NC=O)cc1
446,165304,CHEMBL640138,CHEMBL101340,LogD,,=,1.54,CHEMBL2362975,Apparent partion coefficient of compound was evaluated in octanol/buffer at pH of 7.4 at 37 degree Centigrade,P,FC(F)(F)c1ccc(Cl)c(NC2=NCCN2)c1
452,167777,CHEMBL633376,CHEMBL151651,LogD,,=,-0.1,CHEMBL2362975,Distribution coefficient measured in Octanol/buffer (0.15 M KCl),P,O=C(NCCNCC(O)COc1ccc(CCOCCOCC2CC2)cc1)N1CCC(O)CC1
461,171339,CHEMBL633736,CHEMBL541799,LogD,,=,0.48,CHEMBL2362975,"Partition coefficient in octanol/water system was determined at pH 7.4, as a measure of lipophilicity.",P,Cl.Nc1nc(O)c2nc(N)n(Cc3ccsc3)c2n1
