,activity_id,assay_chembl_id,molecule_chembl_id,type,standard_units,relation,standard_value,target_chembl_id,target_organism,assay_description,assay_type,smiles
1972,851411,CHEMBL627374,CHEMBL21897,LogD,,=,3.38,CHEMBL2362975,,Distribution coefficient between octanol and aqueous  phase at pH7.2,P,CCC(=O)c1ccc(O)c(C(=O)Nc2ccc(Br)cc2)c1
1973,851627,CHEMBL633739,CHEMBL174736,LogD,,=,0.03,CHEMBL2362975,,Partition coefficient measured in n-octanol/ pH 7.4 phosphate buffer,P,Cc1cnc2c(c1)Cc1cc(C(C)C(=O)O)ccc1O2
1979,852470,CHEMBL627374,CHEMBL23049,LogD,,=,5.88,CHEMBL2362975,,Distribution coefficient between octanol and aqueous  phase at pH7.2,P,CCCCc1ccc(O)c(C(=O)Nc2ccc(Br)cc2)c1
1998,854923,CHEMBL633739,CHEMBL368207,LogD,,=,1.08,CHEMBL2362975,,Partition coefficient measured in n-octanol/ pH 7.4 phosphate buffer,P,CCCc1ccc2c(n1)Oc1ccc(C(C)C(=O)O)cc1C2
2001,855819,CHEMBL627374,CHEMBL282692,LogD,,=,7.88,CHEMBL2362975,,Distribution coefficient between octanol and aqueous  phase at pH7.2,P,CCCCCCCCCCCC(=O)c1ccc(O)c(C(=O)Nc2ccc(Br)cc2)c1
2003,856072,CHEMBL633739,CHEMBL175027,LogD,,=,0.45,CHEMBL2362975,,Partition coefficient measured in n-octanol/ pH 7.4 phosphate buffer,P,CCc1ccc2c(n1)Oc1ccc(C(C)C(=O)O)cc1C2
2008,856940,CHEMBL627374,CHEMBL277451,LogD,,=,5.38,CHEMBL2362975,,Distribution coefficient between octanol and aqueous  phase at pH7.2,P,CCCc1ccc(O)c(C(=O)Nc2ccc(Br)cc2)c1
2013,857127,CHEMBL633739,CHEMBL173194,LogD,,=,0.67,CHEMBL2362975,,Partition coefficient measured in n-octanol/ pH 7.4 phosphate buffer,P,CC(C)c1ccc2c(n1)Oc1ccc(C(C)C(=O)O)cc1C2
2018,858057,CHEMBL627374,CHEMBL22096,LogD,,=,4.88,CHEMBL2362975,,Distribution coefficient between octanol and aqueous  phase at pH7.2,P,CCCCCC(=O)c1ccc(O)c(C(=O)Nc2ccc(Br)cc2)c1
2019,858097,CHEMBL627374,CHEMBL441513,LogD,,=,4.38,CHEMBL2362975,,Distribution coefficient between octanol and aqueous  phase at pH7.2,P,Cc1ccc(O)c(C(=O)Nc2ccc(Br)cc2)c1
2023,859368,CHEMBL627374,CHEMBL21895,LogD,,=,3.78,CHEMBL2362975,,Distribution coefficient between octanol and aqueous  phase at pH7.2,P,O=C(Nc1ccc(Br)cc1)c1ccccc1O
2026,860655,CHEMBL633739,CHEMBL367463,LogD,,=,-0.72,CHEMBL2362975,,Partition coefficient measured in n-octanol/ pH 7.4 phosphate buffer,P,CC(C(=O)O)c1ccc2c(c1)Cc1cccnc1O2
2033,861485,CHEMBL627374,CHEMBL24944,LogD,,=,4.78,CHEMBL2362975,,Distribution coefficient between octanol and aqueous  phase at pH7.2,P,O=C(Nc1ccc(Br)cc1)c1cc(Br)cc(Br)c1O
2039,862762,CHEMBL627374,CHEMBL21674,LogD,,=,6.88,CHEMBL2362975,,Distribution coefficient between octanol and aqueous  phase at pH7.2,P,CCCCCCCCCC(=O)c1ccc(O)c(C(=O)Nc2ccc(Br)cc2)c1
2152,875203,CHEMBL638468,CHEMBL545648,LogD,,=,1.82,CHEMBL2362975,,Distribution coefficient in octanol-pH 7.0 phosphate buffer was measured at room temperature,P,CCOC(=O)COc1ccc(Oc2ccc(O)c(CN)c2)c(Cl)c1Cl.Cl
2190,880259,CHEMBL638468,CHEMBL534463,LogD,,=,1.25,CHEMBL2362975,,Distribution coefficient in octanol-pH 7.0 phosphate buffer was measured at room temperature,P,CCOC(=O)COc1ccc(S(=O)(=O)c2ccc(O)c(CN)c2)c(Cl)c1Cl.Cl
2216,883559,CHEMBL630106,CHEMBL86847,LogD,,=,-0.6,CHEMBL2362975,,Partition coefficient (logD) (octanol/phosphate buffer),P,Cc1c(C)c2c(c(C)c1O)CCC(C)(CC[N+](C)(C)C)O2
