,activity_id,assay_chembl_id,molecule_chembl_id,type,standard_units,relation,standard_value,target_chembl_id,target_organism,assay_description,assay_type,smiles
2857,1106982,CHEMBL640144,CHEMBL435763,LogD,,=,2.61,CHEMBL2362975,,"Compound was tested for the ratio of octanol / buffer partition coefficient for 0.1M, pH 7.6 phosphate buffer",P,O/N=C/c1nc(-c2ccccc2)no1
2865,1110323,CHEMBL640144,CHEMBL2079594,LogD,,=,1.83,CHEMBL2362975,,"Compound was tested for the ratio of octanol / buffer partition coefficient for 0.1M, pH 7.6 phosphate buffer",P,CCN(CC)CCS/C(=N\O)c1nc(-c2ccccc2)no1.Cl
2867,1111585,CHEMBL640144,CHEMBL304820,LogD,,=,2.38,CHEMBL2362975,,"Compound was tested for the ratio of octanol / buffer partition coefficient for 0.1M, pH 7.6 phosphate buffer",P,O/N=C/c1nc(-c2cccs2)no1
2868,1111593,CHEMBL640144,CHEMBL302946,LogD,,=,2.92,CHEMBL2362975,,"Compound was tested for the ratio of octanol / buffer partition coefficient for 0.1M, pH 7.6 phosphate buffer",P,CCN(CC)CCS/C(=N\O)c1nc(-c2cccc3ccccc23)no1
2870,1113528,CHEMBL635915,CHEMBL20637,LogD,,=,0.05,CHEMBL2362975,,Compound was evaluated for the partition coefficient (octanol/pH 7.4 buffer),P,O=C(O)Cc1nn(Cc2nc3cc(F)cc(F)c3s2)c(=O)c2ccccc12
2872,1113900,CHEMBL630196,CHEMBL156283,LogD,,=,0.16,CHEMBL2362975,,Partition coefficient (logD) (octanol/phosphate buffer),P,c1[nH]nc2c1CCN1CCCCC21
2873,1114020,CHEMBL640144,CHEMBL435763,LogD,,=,2.33,CHEMBL2362975,,"Compound was tested for the ratio of octanol / buffer partition coefficient for 0.1M, pH 7.6 phosphate buffer",P,O/N=C/c1nc(-c2ccccc2)no1
2880,1117488,CHEMBL630196,CHEMBL345349,LogD,,=,1.83,CHEMBL2362975,,Partition coefficient (logD) (octanol/phosphate buffer),P,c1ccc2c3c([nH]c2c1)C1CCCCN1CC3
2888,1119954,CHEMBL630196,CHEMBL160388,LogD,,=,0.39,CHEMBL2362975,,Partition coefficient (logD) (octanol/phosphate buffer),P,Nc1nc2c(s1)CCN1CCCCC21
2893,1121149,CHEMBL640144,CHEMBL19557,LogD,,=,-0.41,CHEMBL2362975,,"Compound was tested for the ratio of octanol / buffer partition coefficient for 0.1M, pH 7.6 phosphate buffer",P,CCN(CC)CCS/C(=N\O)c1nc(C)no1
2897,1123483,CHEMBL640144,CHEMBL278826,LogD,,=,0.47,CHEMBL2362975,,"Compound was tested for the ratio of octanol / buffer partition coefficient for 0.1M, pH 7.6 phosphate buffer",P,Cc1noc(/C=N/O)n1
2899,1124626,CHEMBL630196,CHEMBL158371,LogD,,=,1.8,CHEMBL2362975,,Partition coefficient (logD) (octanol/phosphate buffer),P,c1ccc2c3c(oc2c1)C1CCCCN1CC3
2901,1125473,CHEMBL635916,CHEMBL283996,LogD,,=,-0.3,CHEMBL2362975,,Compound was evaluated for the partition coefficient (octanol/pH 7.4 buffer),P,O=C(O)Cc1nn(Cc2nc3cc(F)ccc3s2)c(=O)c2ccccc12
2903,1125903,CHEMBL630196,CHEMBL345621,LogD,,=,0.16,CHEMBL2362975,,Partition coefficient (logD) (octanol/phosphate buffer),P,c1cnc2[nH]c3c(c2c1)CCN1CCCCC31
2904,1127078,CHEMBL640144,CHEMBL70182,LogD,,=,2.18,CHEMBL2362975,,"Compound was tested for the ratio of octanol / buffer partition coefficient for 0.1M, pH 7.6 phosphate buffer",P,O/N=C/c1nc(Cc2ccccc2)no1
2906,1128389,CHEMBL640144,CHEMBL20339,LogD,,=,1.78,CHEMBL2362975,,"Compound was tested for the ratio of octanol / buffer partition coefficient for 0.1M, pH 7.6 phosphate buffer",P,CCN(CC)CCS/C(=N\O)c1nc(-c2ccccc2)no1
2910,1129598,CHEMBL640144,CHEMBL68953,LogD,,=,2.03,CHEMBL2362975,,"Compound was tested for the ratio of octanol / buffer partition coefficient for 0.1M, pH 7.6 phosphate buffer",P,CC(C)(C)c1noc(/C=N/O)n1
2913,1130300,CHEMBL635916,CHEMBL10372,LogD,,=,0.55,CHEMBL2362975,,Compound was evaluated for the partition coefficient (octanol/pH 7.4 buffer),P,O=C(O)Cc1nn(Cc2nc3cc(C(F)(F)F)ccc3s2)c(=O)c2ccccc12
2915,1131737,CHEMBL630196,CHEMBL348538,LogD,,=,0.39,CHEMBL2362975,,Partition coefficient (logD) (octanol/phosphate buffer),P,c1cnc2c(c1)CCN1CCCCC21
2922,1135743,CHEMBL630196,CHEMBL346016,LogD,,=,1.51,CHEMBL2362975,,Partition coefficient (logD) (octanol/phosphate buffer),P,c1cc2c(s1)C1CCCCN1CC2
2923,1135749,CHEMBL630196,CHEMBL346492,LogD,,=,2.09,CHEMBL2362975,,Partition coefficient (logD) (octanol/phosphate buffer),P,c1ccc2c3c(sc2c1)C1CCCCN1CC3
2927,1136943,CHEMBL640144,CHEMBL65891,LogD,,=,1.16,CHEMBL2362975,,"Compound was tested for the ratio of octanol / buffer partition coefficient for 0.1M, pH 7.6 phosphate buffer",P,CCN(CC)CCS/C(=N\O)c1nc(C(C)(C)C)no1
2928,1136949,CHEMBL640144,CHEMBL71994,LogD,,=,1.28,CHEMBL2362975,,"Compound was tested for the ratio of octanol / buffer partition coefficient for 0.1M, pH 7.6 phosphate buffer",P,CCN(CC)CCS/C(=N\O)c1nc(Cc2ccccc2)no1
2940,1140956,CHEMBL640144,CHEMBL71982,LogD,,=,3.0,CHEMBL2362975,,"Compound was tested for the ratio of octanol / buffer partition coefficient for 0.1M, pH 7.6 phosphate buffer",P,CCCCCCCCc1noc(/C=N/O)n1
2943,1142329,CHEMBL640879,CHEMBL142942,LogD,,=,4.15,CHEMBL2362975,,Partition coefficient in the octanol/water phase at pH 7.4,P,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1cscn1)NC(=O)[C@@H](CC(=O)N(C)CCN1CCOCC1)Cc1ccccc1
2944,1142337,CHEMBL640879,CHEMBL141848,LogD,,=,4.01,CHEMBL2362975,,Partition coefficient in the octanol/water phase at pH 7.4,P,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1cscn1)NC(=O)[C@@H](CC(=O)N(C)CCn1ccnc1)Cc1ccccc1
2951,1147010,CHEMBL632775,CHEMBL319066,LogD,,=,-0.2,CHEMBL2362975,,Partition coefficient was measured in between 1-octanol and aqueous buffer solution of pH 7.4,P,CC1Nc2cccnc2S(=O)(=O)N1
2952,1150088,CHEMBL640879,CHEMBL113841,LogD,,=,4.57,CHEMBL2362975,,Partition coefficient in the octanol/water phase at pH 7.4,P,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1cscn1)NC(=O)[C@H](Cc1ccccc1)CS(=O)(=O)N1CCN(C)CC1
2955,1151868,CHEMBL632775,CHEMBL100009,LogD,,=,-0.91,CHEMBL2362975,,Partition coefficient was measured in between 1-octanol and aqueous buffer solution of pH 7.4,P,CC1=NS(=O)(=O)c2ncccc2N1
2956,1153768,CHEMBL640879,CHEMBL140436,LogD,,=,3.89,CHEMBL2362975,,Partition coefficient in the octanol/water phase at pH 7.4,P,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1cscn1)NC(=O)[C@H](Cc1ccccc1)CS(=O)(=O)C1CN(C)C1
2957,1155103,CHEMBL640879,CHEMBL141948,LogD,,=,3.11,CHEMBL2362975,,Partition coefficient in the octanol/water phase at pH 7.4,P,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1cscn1)NC(=O)[C@@H](CC(=O)N(C)CCN(C)C)Cc1ccccc1
2958,1155114,CHEMBL640879,CHEMBL343968,LogD,,=,4.22,CHEMBL2362975,,Partition coefficient in the octanol/water phase at pH 7.4,P,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1cscn1)NC(=O)[C@@H](CC(=O)N(C)CCc1ccccn1)Cc1ccccc1
2959,1155796,CHEMBL632775,CHEMBL322615,LogD,,=,0.13,CHEMBL2362975,,Partition coefficient was measured in between 1-octanol and aqueous buffer solution of pH 7.4,P,CC1Nc2ccncc2S(=O)(=O)N1
2963,1160992,CHEMBL632775,CHEMBL101498,LogD,,=,0.35,CHEMBL2362975,,Partition coefficient was measured in between 1-octanol and aqueous buffer solution of pH 7.4,P,CC1Nc2ncccc2S(=O)(=O)N1
2965,1164560,CHEMBL640879,CHEMBL342711,LogD,,=,3.61,CHEMBL2362975,,Partition coefficient in the octanol/water phase at pH 7.4,P,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1cscn1)NC(=O)[C@H](Cc1ccccc1)CS(=O)(=O)C1CCN(C)CC1
2966,1167318,CHEMBL640879,CHEMBL358152,LogD,,=,3.58,CHEMBL2362975,,Partition coefficient in the octanol/water phase at pH 7.4,P,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1cscn1)NC(=O)[C@@H](CC(=O)N(C)CCN1CCN(C)CC1)Cc1ccccc1
2969,1172375,CHEMBL640878,CHEMBL140731,LogD,,=,2.83,CHEMBL2362975,,Partition coefficient in octanol/water phase at pH 7.4,P,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1cscn1)NC(=O)[C@@H](CC(=O)N(C)CCCN(C)C)Cc1ccccc1
2973,1176989,CHEMBL632775,CHEMBL101720,LogD,,=,-0.25,CHEMBL2362975,,Partition coefficient was measured in between 1-octanol and aqueous buffer solution of pH 7.4,P,CC1=NS(=O)(=O)c2cccnc2N1
2979,1182192,CHEMBL632775,CHEMBL100342,LogD,,=,-0.41,CHEMBL2362975,,Partition coefficient was measured in between 1-octanol and aqueous buffer solution of pH 7.4,P,CC1=NS(=O)(=O)c2cnccc2N1
2981,1183746,CHEMBL636087,CHEMBL294160,LogD,,=,77.0,CHEMBL2362975,,Partition coefficient (logD) (octanol/citric acid-phosphate buffer),P,CC(C)CC(NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(O)CC(=O)N[C@@H](CC(C)C)C(=O)NCc1cccc(CN)c1
2984,1185171,CHEMBL636087,CHEMBL57455,LogD,,=,25.4,CHEMBL2362975,,Partition coefficient (logD) (octanol/citric acid-phosphate buffer),P,CC(C)CC(NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(O)CC(=O)N[C@@H](CC(C)C)C(=O)NCCCN(CCO)CCO
2988,1187498,CHEMBL635438,CHEMBL109545,LogD,,=,0.538,CHEMBL2362975,,Partition coefficient in 1-octanol phosphate buffer at pH 7.40,P,CC(C)N/C(=C\[N+](=O)[O-])NS(=O)(=O)c1cnccc1NC1CCCC1
2989,1189182,CHEMBL636087,CHEMBL301881,LogD,,=,10.7,CHEMBL2362975,,Partition coefficient (logD) (octanol/citric acid-phosphate buffer),P,CC(C)CC(NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(O)CC(=O)N[C@@H](CC(C)C)C(=O)NCCC(N)C(=O)O
2991,1190500,CHEMBL636087,CHEMBL301881,LogD,,=,12.1,CHEMBL2362975,,Partition coefficient (logD) (octanol/citric acid-phosphate buffer),P,CC(C)CC(NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(O)CC(=O)N[C@@H](CC(C)C)C(=O)NCCC(N)C(=O)O
2996,1194082,CHEMBL635438,CHEMBL111337,LogD,,=,0.482,CHEMBL2362975,,Partition coefficient in 1-octanol phosphate buffer at pH 7.40,P,CCNc1ccncc1S(=O)(=O)N/C(=C/[N+](=O)[O-])NC(C)C
2998,1194704,CHEMBL876039,CHEMBL268270,LogD,,=,0.85,CHEMBL2362975,,Partition coefficient value in octanol and phosphate buffer (log P) at pH of 7.4 was determined.,P,COC(=O)[C@H](Cc1ccc(OC(C)=O)c(OC(C)=O)c1)NC(=O)CCC(=O)N[C@@H](Cc1ccc(OC(C)=O)c(OC(C)=O)c1)C(=O)OC
2999,1195900,CHEMBL876039,CHEMBL11682,LogD,,=,0.73,CHEMBL2362975,,Partition coefficient value in octanol and phosphate buffer (log P) at pH of 7.4 was determined.,P,COC(=O)[C@H](Cc1ccc(OC(C)=O)c(OC(C)=O)c1)NC(=O)C(=O)N[C@@H](Cc1ccc(OC(C)=O)c(OC(C)=O)c1)C(=O)OC
3001,1197986,CHEMBL635122,CHEMBL298456,LogD,,=,0.11,CHEMBL2362975,,Log distribution coefficient between 1-octanol and aqueous buffer at pH of 7.4.,P,Nc1cc(-c2n[nH]c(N)n2)ccn1
3002,1197987,CHEMBL635123,CHEMBL298456,LogD,,=,-0.06,CHEMBL2362975,,Log distribution coefficient between 1-octanol and aqueous buffer at pH of 9.2.,P,Nc1cc(-c2n[nH]c(N)n2)ccn1
3006,1200684,CHEMBL875039,CHEMBL30,LogD,,=,0.54,CHEMBL2362975,,Log distribution coefficient between 1-octanol and aqueous buffer at specified pH of 9.2.,P,CN/C(=N\CCSCc1nc[nH]c1C)NC#N
3007,1200687,CHEMBL635123,CHEMBL30,LogD,,=,0.4,CHEMBL2362975,,Log distribution coefficient between 1-octanol and aqueous buffer at pH of 9.2.,P,CN/C(=N\CCSCc1nc[nH]c1C)NC#N
3008,1200784,CHEMBL636087,CHEMBL294158,LogD,,=,16.5,CHEMBL2362975,,Partition coefficient (logD) (octanol/citric acid-phosphate buffer),P,CC(C)CC(NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(O)CC(=O)N[C@@H](CC(C)C)C(=O)NC(C(=O)O)c1ccccc1
3009,1201964,CHEMBL635122,CHEMBL43991,LogD,,=,1.13,CHEMBL2362975,,Log distribution coefficient between 1-octanol and aqueous buffer at pH of 7.4.,P,CCNc1cc(-c2n[nH]c(N)n2)ccn1
3010,1201965,CHEMBL635123,CHEMBL43991,LogD,,=,0.97,CHEMBL2362975,,Log distribution coefficient between 1-octanol and aqueous buffer at pH of 9.2.,P,CCNc1cc(-c2n[nH]c(N)n2)ccn1
3011,1202072,CHEMBL636087,CHEMBL58270,LogD,,=,8.9,CHEMBL2362975,,Partition coefficient (logD) (octanol/citric acid-phosphate buffer),P,CC(C)CC(NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(O)CC(=O)N[C@@H](CC(C)C)C(=O)NCCN
3015,1204699,CHEMBL635438,CHEMBL324638,LogD,,=,1.116,CHEMBL2362975,,Partition coefficient in 1-octanol phosphate buffer at pH 7.40,P,Cc1cccc(Nc2ccncc2S(=O)(=O)N/C(=C/[N+](=O)[O-])NC(C)C)c1
3019,1207105,CHEMBL646007,CHEMBL146134,LogD,,=,0.65,CHEMBL2362975,,Distribution coefficients at 25 C in a 1-octanol-TRIS buffer,P,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCOC(COP(=O)(O)O)COP(=O)(O)O
3020,1207607,CHEMBL636087,CHEMBL293934,LogD,,=,68.2,CHEMBL2362975,,Partition coefficient (logD) (octanol/citric acid-phosphate buffer),P,CC(C)CC(NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(O)CC(=O)N[C@@H](CC(C)C)C(=O)NC(Cc1cccc(CN)c1)C(=O)O
3023,1209158,CHEMBL876039,CHEMBL274845,LogD,,=,0.92,CHEMBL2362975,,Partition coefficient value in octanol and phosphate buffer (log P) at pH of 7.4 was determined.,P,COC(=O)[C@H](Cc1ccc(OC(C)=O)c(OC(C)=O)c1)NC(=O)CCCCC(=O)N[C@@H](Cc1ccc(OC(C)=O)c(OC(C)=O)c1)C(=O)OC
3026,1212837,CHEMBL636087,CHEMBL294393,LogD,,=,4.3,CHEMBL2362975,,Partition coefficient (logD) (octanol/citric acid-phosphate buffer),P,CC(C)CC(NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(O)CC(=O)N[C@@H](CC(C)C)C(=O)NCCS(=O)(=O)O
3028,1214002,CHEMBL636087,CHEMBL291900,LogD,,=,10.6,CHEMBL2362975,,Partition coefficient (logD) (octanol/citric acid-phosphate buffer),P,CC(C)CC(NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(O)CC(=O)N[C@@H](CC(C)C)C(=O)NCc1cccc(CN=C(N)N)c1
3029,1214058,CHEMBL636087,CHEMBL293093,LogD,,=,2.1,CHEMBL2362975,,Partition coefficient (logD) (octanol/citric acid-phosphate buffer),P,CC(C)CC(NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(O)CC(=O)N[C@@H](CC(C)C)C(=O)NCCN=C(N)N
3032,1215677,CHEMBL876039,CHEMBL11259,LogD,,=,1.04,CHEMBL2362975,,Partition coefficient value in octanol and phosphate buffer (log P) at pH of 7.4 was determined.,P,COC(=O)[C@H](Cc1ccc(OC(C)=O)c(OC(C)=O)c1)NC(=O)N[C@@H](Cc1ccc(OC(C)=O)c(OC(C)=O)c1)C(=O)OC
3040,1218930,CHEMBL646007,CHEMBL146153,LogD,,=,1.98,CHEMBL2362975,,Distribution coefficients at 25 C in a 1-octanol-TRIS buffer,P,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCOC(CO)COP(=O)(O)O
3042,1221018,CHEMBL876039,CHEMBL11748,LogD,,=,0.87,CHEMBL2362975,,Partition coefficient value in octanol and phosphate buffer (log P) at pH of 7.4 was determined.,P,COC(=O)[C@H](Cc1ccc(OC(C)=O)c(OC(C)=O)c1)NC(=O)CCCC(=O)N[C@@H](Cc1ccc(OC(C)=O)c(OC(C)=O)c1)C(=O)OC
3044,1224916,CHEMBL876039,CHEMBL11759,LogD,,=,0.62,CHEMBL2362975,,Partition coefficient value in octanol and phosphate buffer (log P) at pH of 7.4 was determined.,P,COC(=O)[C@H](Cc1ccc(OC(C)=O)c(OC(C)=O)c1)NC(=O)CC(=O)N[C@@H](Cc1ccc(OC(C)=O)c(OC(C)=O)c1)C(=O)OC
3049,1227440,CHEMBL631050,CHEMBL418711,LogD,,=,3.4,CHEMBL2362975,,Log P (Octanol:buffer pH 7.4),P,O=S(=O)([O-])Nc1ccc(-c2nc3ccccc3s2)cc1.[Na+]
3053,1237472,CHEMBL631050,CHEMBL273465,LogD,,=,0.02,CHEMBL2362975,,Log P (Octanol:buffer pH 7.4),P,O=S(=O)([O-])Nc1ccc(-c2nc3ccccc3s2)cc1Cl.[Na+]
3055,1239988,CHEMBL631050,CHEMBL11825,LogD,,=,3.96,CHEMBL2362975,,Log P (Octanol:buffer pH 7.4),P,Cc1cc(-c2nc3ccccc3s2)ccc1N
3066,1249314,CHEMBL631050,CHEMBL275320,LogD,,=,0.6,CHEMBL2362975,,Log P (Octanol:buffer pH 7.4),P,Cc1cc(-c2nc3ccccc3s2)ccc1NS(=O)(=O)[O-].[Na+]
3071,1258049,CHEMBL631050,CHEMBL12385,LogD,,=,1.8,CHEMBL2362975,,Log P (Octanol:buffer pH 7.4),P,O=S(=O)([O-])Nc1ccc(-c2nc3ccccc3s2)cc1I.[Na+]
3084,1266414,CHEMBL627377,CHEMBL441989,LogD,,=,0.72,CHEMBL2362975,,Log D is the log of the ratio of concentrations in each phase obtained from partitioning between octanol and 100 mM KH2PO4 buffer at pH 7.4.,P,CC(=O)NS(=O)(=O)c1cccc(NC(=O)NC2N=C(C3CCCCC3)c3ccccc3N(C)C2=O)c1
3085,1266464,CHEMBL634964,CHEMBL216322,LogD,,=,7.2,CHEMBL2362975,,Partition coefficient in n-octanol/ water system at pH= 7.0,P,CCN1C(=O)[C@H](C)OC(=O)[C@H](CC(C)C)N(CC)C(=O)[C@@H](Cc2ccccc2)OC(=O)[C@H](CC(C)C)N(CC)C(=O)[C@@H](C)OC(=O)[C@H](CC(C)C)N(CC)C(=O)[C@@H](Cc2ccccc2)OC(=O)[C@@H]1CC(C)C
3087,1270821,CHEMBL627377,CHEMBL75892,LogD,,=,0.34,CHEMBL2362975,,Log D is the log of the ratio of concentrations in each phase obtained from partitioning between octanol and 100 mM KH2PO4 buffer at pH 7.4.,P,CN1C(=O)C(NC(=O)Nc2cccc(C(=O)NS(C)(=O)=O)c2)N=C(C2CCCCC2)c2ccccc21
3093,1277208,CHEMBL627377,CHEMBL306803,LogD,,=,0.89,CHEMBL2362975,,Log D is the log of the ratio of concentrations in each phase obtained from partitioning between octanol and 100 mM KH2PO4 buffer at pH 7.4.,P,CN1C(=O)C(NC(=O)Nc2cccc(C(=O)O)c2)N=C(C2CCCCC2)c2ccccc21
3094,1278560,CHEMBL634964,CHEMBL186158,LogD,,=,5.9,CHEMBL2362975,,Partition coefficient in n-octanol/ water system at pH= 7.0,P,CC(C)C[C@H]1C(=O)O[C@H](Cc2ccccc2)C(=O)N(C)[C@@H](CC(C)C)C(=O)O[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)O[C@H](Cc2ccccc2)C(=O)N(C)[C@@H](CC(C)C)C(=O)O[C@H](C)C(=O)N1C
3095,1278563,CHEMBL634964,CHEMBL268951,LogD,,=,4.6,CHEMBL2362975,,Partition coefficient in n-octanol/ water system at pH= 7.0,P,CC(C)C[C@H]1C(=O)O[C@H](Cc2ccccc2)C(=O)N(C)[C@@H](C)C(=O)O[C@@H](C)C(=O)N(C)[C@@H](C)C(=O)O[C@H](Cc2ccccc2)C(=O)N(C)[C@@H](CC(C)C)C(=O)O[C@H](C)C(=O)N1C
3099,1279707,CHEMBL627377,CHEMBL305649,LogD,,=,2.0,CHEMBL2362975,,Log D is the log of the ratio of concentrations in each phase obtained from partitioning between octanol and 100 mM KH2PO4 buffer at pH 7.4.,P,Cc1ccccc1S(=O)(=O)NC(=O)c1cccc(NC(=O)N[C@@H]2N=C(C3CCCCC3)c3ccccc3N(C)C2=O)c1
3100,1279762,CHEMBL634964,CHEMBL412395,LogD,,=,8.6,CHEMBL2362975,,Partition coefficient in n-octanol/ water system at pH= 7.0,P,CC(C)C[C@H]1C(=O)O[C@H](Cc2ccccc2)C(=O)N(C(C)C)[C@@H](CC(C)C)C(=O)O[C@H](C)C(=O)N(C(C)C)[C@@H](CC(C)C)C(=O)O[C@H](Cc2ccccc2)C(=O)N(C(C)C)[C@@H](CC(C)C)C(=O)O[C@@H](C)C(=O)N1C(C)C
3101,1279765,CHEMBL634964,CHEMBL262696,LogD,,=,3.1,CHEMBL2362975,,Partition coefficient in n-octanol/ water system at pH= 7.0,P,C[C@@H]1OC(=O)[C@H](C)N(C)C(=O)[C@@H](Cc2ccccc2)OC(=O)[C@H](C)N(C)C(=O)[C@@H](C)OC(=O)[C@H](C)N(C)C(=O)[C@@H](Cc2ccccc2)OC(=O)[C@H](C)N(C)C1=O
3104,1283352,CHEMBL627377,CHEMBL75490,LogD,,=,1.78,CHEMBL2362975,,Log D is the log of the ratio of concentrations in each phase obtained from partitioning between octanol and 100 mM KH2PO4 buffer at pH 7.4.,P,CN1C(=O)C(NC(=O)Nc2cccc(S(=O)(=O)NC(=O)c3ccccc3)c2)N=C(C2CCCCC2)c2ccccc21
3111,1287209,CHEMBL634964,CHEMBL267725,LogD,,=,5.5,CHEMBL2362975,,Partition coefficient in n-octanol/ water system at pH= 7.0,P,CC(C)[C@H]1C(=O)O[C@H](Cc2ccccc2)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](Cc2ccccc2)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H](C)C(=O)N1C
3115,1292583,CHEMBL634964,CHEMBL8711,LogD,,=,5.1,CHEMBL2362975,,Partition coefficient in n-octanol/ water system at pH= 7.0,P,CCC[C@H]1C(=O)O[C@H](Cc2ccccc2)C(=O)N(C)[C@@H](CCC)C(=O)O[C@H](C)C(=O)N(C)[C@@H](CCC)C(=O)O[C@H](Cc2ccccc2)C(=O)N(C)[C@@H](CCC)C(=O)O[C@@H](C)C(=O)N1C
3116,1292586,CHEMBL634964,CHEMBL427821,LogD,,=,5.9,CHEMBL2362975,,Partition coefficient in n-octanol/ water system at pH= 7.0,P,C[C@@H]1OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@@H](Cc2ccccc2)OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@@H](C)OC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@@H](Cc2ccccc2)OC(=O)[C@H](Cc2ccccc2)N(C)C1=O
3118,1293895,CHEMBL634964,CHEMBL266333,LogD,,=,6.6,CHEMBL2362975,,Partition coefficient in n-octanol/ water system at pH= 7.0,P,CCC(C)[C@H]1C(=O)O[C@H](Cc2ccccc2)C(=O)N(C)[C@@H](C(C)CC)C(=O)O[C@H](C)C(=O)N(C)[C@@H](C(C)CC)C(=O)O[C@H](Cc2ccccc2)C(=O)N(C)[C@@H](C(C)CC)C(=O)O[C@@H](C)C(=O)N1C
3119,1293898,CHEMBL634964,CHEMBL8687,LogD,,=,5.5,CHEMBL2362975,,Partition coefficient in n-octanol/ water system at pH= 7.0,P,CCC[C@H]1C(=O)O[C@H](Cc2ccccc2)C(=O)N(C)[C@@H](CC(C)C)C(=O)O[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)O[C@H](Cc2ccccc2)C(=O)N(C)[C@@H](CCC)C(=O)O[C@@H](C)C(=O)N1C
3120,1295308,CHEMBL634964,CHEMBL216800,LogD,,=,8.4,CHEMBL2362975,,Partition coefficient in n-octanol/ water system at pH= 7.0,P,CCCN1C(=O)[C@H](C)OC(=O)[C@H](CC(C)C)N(CCC)C(=O)[C@@H](Cc2ccccc2)OC(=O)[C@H](CC(C)C)N(CCC)C(=O)[C@@H](C)OC(=O)[C@H](CC(C)C)N(CCC)C(=O)[C@@H](Cc2ccccc2)OC(=O)[C@@H]1CC(C)C
3123,1298137,CHEMBL627377,CHEMBL306944,LogD,,=,1.42,CHEMBL2362975,,Log D is the log of the ratio of concentrations in each phase obtained from partitioning between octanol and 100 mM KH2PO4 buffer at pH 7.4.,P,CN1C(=O)C(NC(=O)Nc2cccc(C(=O)NS(=O)(=O)c3ccccc3)c2)N=C(C2CCCCC2)c2ccccc21
3124,1306554,CHEMBL627377,CHEMBL75536,LogD,,=,0.85,CHEMBL2362975,,Log D is the log of the ratio of concentrations in each phase obtained from partitioning between octanol and 100 mM KH2PO4 buffer at pH 7.4.,P,CC(C)S(=O)(=O)NC(=O)c1cccc(NC(=O)NC2N=C(C3CCCCC3)c3ccccc3N(C)C2=O)c1
3127,1427297,CHEMBL838960,CHEMBL2311157,LogD,,=,3.42,CHEMBL2362975,,Partition coefficient (logD) (octanol/PBS),P,CCC(=O)N(c1ccccc1)C1(C(=O)O[11CH3])CCN(CCc2ccccc2)CC1
3128,1427304,CHEMBL838960,CHEMBL197479,LogD,,=,2.9,CHEMBL2362975,,Partition coefficient (logD) (octanol/PBS),P,CC([18F])C(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1
